"GO.ID","Term","Annotated","Significant","Expected","fisher"
"GO:0009753","response to jasmonic acid",4,3,0.05,"6.1e-06"
"GO:0071395","cellular response to jasmonic acid stimu...",4,3,0.05,"6.1e-06"
"GO:0048513","animal organ development",3101,62,35.95,"6.2e-06"
"GO:2001046","positive regulation of integrin-mediated...",12,4,0.14,"8.1e-06"
"GO:0042273","ribosomal large subunit biogenesis",65,7,0.75,"1.0e-05"
"GO:0006364","rRNA processing",222,12,2.57,"1.1e-05"
"GO:1901798","positive regulation of signal transducti...",27,5,0.31,"1.3e-05"
"GO:0042592","homeostatic process",1772,41,20.54,"1.3e-05"
"GO:0048856","anatomical structure development",6120,101,70.95,"1.4e-05"
"GO:2000491","positive regulation of hepatic stellate ...",5,3,0.06,"1.5e-05"
"GO:0051246","regulation of protein metabolic process",1845,42,21.39,"1.5e-05"
"GO:0048771","tissue remodeling",192,11,2.23,"1.5e-05"
"GO:0044281","small molecule metabolic process",1783,41,20.67,"1.6e-05"
"GO:0009967","positive regulation of signal transducti...",1609,38,18.65,"1.9e-05"
"GO:0072359","circulatory system development",1251,32,14.5,"2.0e-05"
"GO:0035295","tube development",1194,31,13.84,"2.1e-05"
"GO:1901701","cellular response to oxygen-containing c...",1260,32,14.61,"2.3e-05"
"GO:0044238","primary metabolic process",10377,150,120.3,"2.4e-05"
"GO:0006631","fatty acid metabolic process",413,16,4.79,"2.7e-05"
"GO:1901698","response to nitrogen compound",1154,30,13.38,"2.8e-05"
"GO:0097435","supramolecular fiber organization",871,25,10.1,"2.8e-05"
"GO:0043067","regulation of programmed cell death",1584,37,18.36,"3.1e-05"
"GO:0070848","response to growth factor",828,24,9.6,"3.5e-05"
"GO:0030154","cell differentiation",4532,79,52.54,"3.7e-05"
"GO:0061448","connective tissue development",291,13,3.37,"3.7e-05"
"GO:0048869","cellular developmental process",4534,79,52.56,"3.7e-05"
"GO:0042981","regulation of apoptotic process",1539,36,17.84,"3.9e-05"
"GO:0019752","carboxylic acid metabolic process",893,25,10.35,"4.2e-05"
"GO:0007229","integrin-mediated signaling pathway",111,8,1.29,"4.6e-05"
"GO:0032787","monocarboxylic acid metabolic process",631,20,7.31,"4.8e-05"
"GO:2000489","regulation of hepatic stellate cell acti...",7,3,0.08,"5.2e-05"
"GO:0071363","cellular response to growth factor stimu...",796,23,9.23,"5.4e-05"
"GO:0010647","positive regulation of cell communicatio...",1821,40,21.11,"5.7e-05"
"GO:0023056","positive regulation of signaling",1822,40,21.12,"5.7e-05"
"GO:0001525","angiogenesis",640,20,7.42,"5.9e-05"
"GO:0051248","negative regulation of protein metabolic...",746,22,8.65,"5.9e-05"
"GO:0043436","oxoacid metabolic process",916,25,10.62,"6.4e-05"
"GO:0035239","tube morphogenesis",973,26,11.28,"6.4e-05"
"GO:0016072","rRNA metabolic process",265,12,3.07,"6.5e-05"
"GO:0048518","positive regulation of biological proces...",6422,102,74.45,"7.0e-05"
"GO:0006082","organic acid metabolic process",923,25,10.7,"7.2e-05"
"GO:0050896","response to stimulus",9311,136,107.94,"8.1e-05"
"GO:0030855","epithelial cell differentiation",763,22,8.85,"8.2e-05"
"GO:0031589","cell-substrate adhesion",361,14,4.18,"8.6e-05"
"GO:0048522","positive regulation of cellular process",6054,97,70.18,"9.0e-05"
"GO:2001044","regulation of integrin-mediated signalin...",21,4,0.24,"9.0e-05"
"GO:0060429","epithelium development",1251,30,14.5,"0.00012"
"GO:0035733","hepatic stellate cell activation",9,3,0.1,"0.00012"
"GO:0044597","daunorubicin metabolic process",9,3,0.1,"0.00012"
"GO:0034442","regulation of lipoprotein oxidation",2,2,0.02,"0.00013"
"GO:0060587","regulation of lipoprotein lipid oxidatio...",2,2,0.02,"0.00013"
"GO:0071396","cellular response to lipid",629,19,7.29,"0.00014"
"GO:0016053","organic acid biosynthetic process",337,13,3.91,"0.00016"
"GO:1901652","response to peptide",1031,26,11.95,"0.00016"
"GO:0032870","cellular response to hormone stimulus",691,20,8.01,"0.00017"
"GO:0048545","response to steroid hormone",338,13,3.92,"0.00017"
"GO:0030638","polyketide metabolic process",10,3,0.12,"0.00017"
"GO:0030647","aminoglycoside antibiotic metabolic proc...",10,3,0.12,"0.00017"
"GO:0044598","doxorubicin metabolic process",10,3,0.12,"0.00017"
"GO:0050673","epithelial cell proliferation",488,16,5.66,"0.00019"
"GO:0043066","negative regulation of apoptotic process",925,24,10.72,"0.00019"
"GO:0034308","primary alcohol metabolic process",103,7,1.19,"0.00020"
"GO:0048584","positive regulation of response to stimu...",2411,47,27.95,"0.00021"
"GO:1901699","cellular response to nitrogen compound",704,20,8.16,"0.00021"
"GO:0010038","response to metal ion",347,13,4.02,"0.00022"
"GO:0048008","platelet-derived growth factor receptor ...",106,7,1.23,"0.00024"
"GO:0007167","enzyme-linked receptor protein signaling...",1057,26,12.25,"0.00024"
"GO:0050790","regulation of catalytic activity",882,23,10.22,"0.00025"
"GO:0032231","regulation of actin filament bundle asse...",107,7,1.24,"0.00025"
"GO:1902533","positive regulation of intracellular sig...",1124,27,13.03,"0.00026"
"GO:0071248","cellular response to metal ion",182,9,2.11,"0.00028"
"GO:0010810","regulation of cell-substrate adhesion",224,10,2.6,"0.00030"
"GO:0006641","triglyceride metabolic process",110,7,1.28,"0.00030"
"GO:0044283","small molecule biosynthetic process",614,18,7.12,"0.00030"
"GO:0048878","chemical homeostasis",1073,26,12.44,"0.00030"
"GO:0042632","cholesterol homeostasis",111,7,1.29,"0.00031"
"GO:0034097","response to cytokine",1016,25,11.78,"0.00032"
"GO:0050678","regulation of epithelial cell proliferat...",410,14,4.75,"0.00032"
"GO:0071559","response to transforming growth factor b...",315,12,3.65,"0.00032"
"GO:0009653","anatomical structure morphogenesis",2809,52,32.56,"0.00032"
"GO:0043069","negative regulation of programmed cell d...",959,24,11.12,"0.00033"
"GO:0055088","lipid homeostasis",186,9,2.16,"0.00033"
"GO:0055092","sterol homeostasis",112,7,1.3,"0.00033"
"GO:0042572","retinol metabolic process",52,5,0.6,"0.00033"
"GO:0016477","cell migration",1650,35,19.13,"0.00034"
"GO:0008610","lipid biosynthetic process",738,20,8.56,"0.00039"
"GO:0010646","regulation of cell communication",3635,63,42.14,"0.00040"
"GO:0018057","peptidyl-lysine oxidation",3,2,0.03,"0.00040"
"GO:0034439","lipoprotein lipid oxidation",3,2,0.03,"0.00040"
"GO:0042160","lipoprotein modification",3,2,0.03,"0.00040"
"GO:0042161","lipoprotein oxidation",3,2,0.03,"0.00040"
"GO:1903225","negative regulation of endodermal cell d...",3,2,0.03,"0.00040"
"GO:1990145","maintenance of translational fidelity",3,2,0.03,"0.00040"
"GO:0043269","regulation of monoatomic ion transport",472,15,5.47,"0.00042"
"GO:0001523","retinoid metabolic process",84,6,0.97,"0.00043"
"GO:0071345","cellular response to cytokine stimulus",922,23,10.69,"0.00046"
"GO:0009628","response to abiotic stimulus",1167,27,13.53,"0.00048"
"GO:0046685","response to arsenic-containing substance",32,4,0.37,"0.00049"
"GO:0042445","hormone metabolic process",240,10,2.78,"0.00051"
"GO:0051128","regulation of cellular component organiz...",2507,47,29.06,"0.00051"
"GO:0031399","regulation of protein modification proce...",932,23,10.8,"0.00053"
"GO:0046394","carboxylic acid biosynthetic process",334,12,3.87,"0.00055"
"GO:1902531","regulation of intracellular signal trans...",2029,40,23.52,"0.00055"
"GO:0006720","isoprenoid metabolic process",122,7,1.41,"0.00055"
"GO:0034103","regulation of tissue remodeling",88,6,1.02,"0.00056"
"GO:0016101","diterpenoid metabolic process",89,6,1.03,"0.00059"
"GO:0072593","reactive oxygen species metabolic proces...",245,10,2.84,"0.00060"
"GO:0010763","positive regulation of fibroblast migrat...",15,3,0.17,"0.00063"
"GO:0072537","fibroblast activation",15,3,0.17,"0.00063"
"GO:0019220","regulation of phosphate metabolic proces...",825,21,9.56,"0.00063"
"GO:0051174","regulation of phosphorus metabolic proce...",826,21,9.58,"0.00064"
"GO:0042255","ribosome assembly",60,5,0.7,"0.00065"
"GO:0023051","regulation of signaling",3628,62,42.06,"0.00066"
"GO:0009966","regulation of signal transduction",3185,56,36.92,"0.00066"
"GO:0034644","cellular response to UV",91,6,1.05,"0.00067"
"GO:0010811","positive regulation of cell-substrate ad...",126,7,1.46,"0.00067"
"GO:0008152","metabolic process",12027,162,139.42,"0.00068"
"GO:0019216","regulation of lipid metabolic process",343,12,3.98,"0.00069"
"GO:0032233","positive regulation of actin filament bu...",61,5,0.71,"0.00070"
"GO:0051094","positive regulation of developmental pro...",1391,30,16.13,"0.00073"
"GO:0007169","cell surface receptor protein tyrosine k...",662,18,7.67,"0.00073"
"GO:0045785","positive regulation of cell adhesion",499,15,5.78,"0.00075"
"GO:0010044","response to aluminum ion",4,2,0.05,"0.00079"
"GO:0060699","regulation of endoribonuclease activity",4,2,0.05,"0.00079"
"GO:0007584","response to nutrient",169,8,1.96,"0.00081"
"GO:0016042","lipid catabolic process",350,12,4.06,"0.00083"
"GO:0009887","animal organ morphogenesis",1024,24,11.87,"0.00083"
"GO:0071353","cellular response to interleukin-4",37,4,0.43,"0.00086"
"GO:0010959","regulation of metal ion transport",403,13,4.67,"0.00089"
"GO:0051170","import into nucleus",172,8,1.99,"0.00091"
"GO:0042448","progesterone metabolic process",17,3,0.2,"0.00093"
"GO:0050793","regulation of developmental process",2578,47,29.89,"0.00095"
"GO:0071711","basement membrane organization",38,4,0.44,"0.00095"
"GO:1902229","regulation of intrinsic apoptotic signal...",38,4,0.44,"0.00095"
"GO:0071560","cellular response to transforming growth...",308,11,3.57,"0.00097"
"GO:0007155","cell adhesion",1551,32,17.98,"0.00101"
"GO:0046683","response to organophosphorus",135,7,1.57,"0.00101"
"GO:0008286","insulin receptor signaling pathway",176,8,2.04,"0.00106"
"GO:0051338","regulation of transferase activity",463,14,5.37,"0.00106"
"GO:0035904","aorta development",67,5,0.78,"0.00108"
"GO:0009605","response to external stimulus",2523,46,29.25,"0.00108"
"GO:0006721","terpenoid metabolic process",100,6,1.16,"0.00109"
"GO:1902905","positive regulation of supramolecular fi...",177,8,2.05,"0.00109"
"GO:0006639","acylglycerol metabolic process",137,7,1.59,"0.00110"
"GO:0050746","regulation of lipoprotein metabolic proc...",18,3,0.21,"0.00110"
"GO:0006638","neutral lipid metabolic process",138,7,1.6,"0.00115"
"GO:0070670","response to interleukin-4",40,4,0.46,"0.00116"
"GO:0006796","phosphate-containing compound metabolic ...",2109,40,24.45,"0.00117"
"GO:0043491","phosphatidylinositol 3-kinase/protein ki...",316,11,3.66,"0.00120"
"GO:0006793","phosphorus metabolic process",2112,40,24.48,"0.00120"
"GO:0044419","biological process involved in interspec...",1837,36,21.3,"0.00120"
"GO:0042325","regulation of phosphorylation",694,18,8.05,"0.00125"
"GO:0007417","central nervous system development",1057,24,12.25,"0.00128"
"GO:1901654","response to ketone",225,9,2.61,"0.00128"
"GO:0016137","glycoside metabolic process",19,3,0.22,"0.00130"
"GO:0050748","negative regulation of lipoprotein metab...",5,2,0.06,"0.00131"
"GO:0071798","response to prostaglandin D",5,2,0.06,"0.00131"
"GO:0071799","cellular response to prostaglandin D sti...",5,2,0.06,"0.00131"
"GO:0009607","response to biotic stimulus",1715,34,19.88,"0.00137"
"GO:0009058","biosynthetic process",8849,125,102.58,"0.00140"
"GO:0030155","regulation of cell adhesion",819,20,9.49,"0.00140"
"GO:0001932","regulation of protein phosphorylation",644,17,7.47,"0.00141"
"GO:0071478","cellular response to radiation",185,8,2.14,"0.00145"
"GO:0008630","intrinsic apoptotic signaling pathway in...",106,6,1.23,"0.00148"
"GO:1901796","regulation of signal transduction by p53...",106,6,1.23,"0.00148"
"GO:0097305","response to alcohol",276,10,3.2,"0.00148"
"GO:0051896","regulation of phosphatidylinositol 3-kin...",278,10,3.22,"0.00156"
"GO:0001101","response to acid chemical",146,7,1.69,"0.00159"
"GO:0019432","triglyceride biosynthetic process",44,4,0.51,"0.00166"
"GO:0007275","multicellular organism development",4852,76,56.25,"0.00178"
"GO:0008202","steroid metabolic process",335,11,3.88,"0.00190"
"GO:0061304","retinal blood vessel morphogenesis",6,2,0.07,"0.00195"
"GO:0097490","sympathetic neuron projection extension",6,2,0.07,"0.00195"
"GO:0030149","sphingolipid catabolic process",46,4,0.53,"0.00196"
"GO:2001239","regulation of extrinsic apoptotic signal...",46,4,0.53,"0.00196"
"GO:0033157","regulation of intracellular protein tran...",152,7,1.76,"0.00200"
"GO:0035107","appendage morphogenesis",152,7,1.76,"0.00200"
"GO:0035108","limb morphogenesis",152,7,1.76,"0.00200"
"GO:0044241","lipid digestion",22,3,0.26,"0.00201"
"GO:0071379","cellular response to prostaglandin stimu...",22,3,0.26,"0.00201"
"GO:1902644","tertiary alcohol metabolic process",22,3,0.26,"0.00201"
"GO:0048731","system development",4180,67,48.46,"0.00212"
"GO:0048646","anatomical structure formation involved ...",1292,27,14.98,"0.00213"
"GO:0046486","glycerolipid metabolic process",395,12,4.58,"0.00229"
"GO:0050999","regulation of nitric-oxide synthase acti...",23,3,0.27,"0.00229"
"GO:0046890","regulation of lipid biosynthetic process",199,8,2.31,"0.00229"
"GO:0009743","response to carbohydrate",245,9,2.84,"0.00230"
"GO:0002062","chondrocyte differentiation",116,6,1.34,"0.00233"
"GO:0060840","artery development",116,6,1.34,"0.00233"
"GO:1902903","regulation of supramolecular fiber organ...",396,12,4.59,"0.00234"
"GO:0009411","response to UV",157,7,1.82,"0.00240"
"GO:0048870","cell motility",1915,36,22.2,"0.00246"
"GO:0060322","head development",799,19,9.26,"0.00248"
"GO:0045595","regulation of cell differentiation",1642,32,19.04,"0.00252"
"GO:0007369","gastrulation",202,8,2.34,"0.00252"
"GO:0042177","negative regulation of protein catabolic...",118,6,1.37,"0.00254"
"GO:0001935","endothelial cell proliferation",203,8,2.35,"0.00259"
"GO:0010640","regulation of platelet-derived growth fa...",24,3,0.28,"0.00260"
"GO:0046822","regulation of nucleocytoplasmic transpor...",119,6,1.38,"0.00265"
"GO:0006693","prostaglandin metabolic process",50,4,0.58,"0.00267"
"GO:0060700","regulation of ribonuclease activity",7,2,0.08,"0.00270"
"GO:1903224","regulation of endodermal cell differenti...",7,2,0.08,"0.00270"
"GO:0001503","ossification",458,13,5.31,"0.00275"
"GO:1902652","secondary alcohol metabolic process",161,7,1.87,"0.00277"
"GO:0012501","programmed cell death",2071,38,24.01,"0.00282"
"GO:0006692","prostanoid metabolic process",51,4,0.59,"0.00287"
"GO:0007420","brain development",749,18,8.68,"0.00287"
"GO:0008219","cell death",2075,38,24.05,"0.00292"
"GO:0006915","apoptotic process",2006,37,23.25,"0.00295"
"GO:0071482","cellular response to light stimulus",122,6,1.41,"0.00300"
"GO:0005975","carbohydrate metabolic process",576,15,6.68,"0.00304"
"GO:0044085","cellular component biogenesis",3473,57,40.26,"0.00304"
"GO:0001974","blood vessel remodeling",52,4,0.6,"0.00308"
"GO:0035987","endodermal cell differentiation",52,4,0.6,"0.00308"
"GO:0046466","membrane lipid catabolic process",52,4,0.6,"0.00308"
"GO:0072331","signal transduction by p53 class mediato...",165,7,1.91,"0.00317"
"GO:0120254","olefinic compound metabolic process",165,7,1.91,"0.00317"
"GO:0043270","positive regulation of monoatomic ion tr...",210,8,2.43,"0.00319"
"GO:0051017","actin filament bundle assembly",166,7,1.92,"0.00328"
"GO:0046460","neutral lipid biosynthetic process",53,4,0.61,"0.00330"
"GO:0046463","acylglycerol biosynthetic process",53,4,0.61,"0.00330"
"GO:0006606","protein import into nucleus",167,7,1.94,"0.00339"
"GO:0032869","cellular response to insulin stimulus",260,9,3.01,"0.00341"
"GO:0007492","endoderm development",87,5,1.01,"0.00342"
"GO:1904062","regulation of monoatomic cation transmem...",311,10,3.61,"0.00351"
"GO:0045765","regulation of angiogenesis",363,11,4.21,"0.00352"
"GO:0035556","intracellular signal transduction",3045,51,35.3,"0.00353"
"GO:0071320","cellular response to cAMP",54,4,0.63,"0.00353"
"GO:0006651","diacylglycerol biosynthetic process",8,2,0.09,"0.00358"
"GO:0060316","positive regulation of ryanodine-sensiti...",8,2,0.09,"0.00358"
"GO:2000586","regulation of platelet-derived growth fa...",8,2,0.09,"0.00358"
"GO:0071840","cellular component organization or bioge...",7175,103,83.18,"0.00365"
"GO:0051239","regulation of multicellular organismal p...",3125,52,36.23,"0.00366"
"GO:0006633","fatty acid biosynthetic process",170,7,1.97,"0.00374"
"GO:0061572","actin filament bundle organization",170,7,1.97,"0.00374"
"GO:0042743","hydrogen peroxide metabolic process",55,4,0.64,"0.00377"
"GO:0065009","regulation of molecular function",1483,29,17.19,"0.00385"
"GO:0009895","negative regulation of catabolic process",368,11,4.27,"0.00390"
"GO:0048871","multicellular organismal-level homeostas...",833,19,9.66,"0.00391"
"GO:0034762","regulation of transmembrane transport",478,13,5.54,"0.00395"
"GO:0048260","positive regulation of receptor-mediated...",56,4,0.65,"0.00403"
"GO:0086065","cell communication involved in cardiac c...",56,4,0.65,"0.00403"
"GO:0043603","amide metabolic process",480,13,5.56,"0.00409"
"GO:0051591","response to cAMP",91,5,1.05,"0.00415"
"GO:1901342","regulation of vasculature development",372,11,4.31,"0.00423"
"GO:0043200","response to amino acid",131,6,1.52,"0.00426"
"GO:0045471","response to ethanol",131,6,1.52,"0.00426"
"GO:0140694","membraneless organelle assembly",427,12,4.95,"0.00429"
"GO:0045597","positive regulation of cell differentiat...",903,20,10.47,"0.00429"
"GO:0031400","negative regulation of protein modificat...",321,10,3.72,"0.00438"
"GO:0034504","protein localization to nucleus",322,10,3.73,"0.00447"
"GO:0042176","regulation of protein catabolic process",375,11,4.35,"0.00448"
"GO:0071480","cellular response to gamma radiation",29,3,0.34,"0.00450"
"GO:0030162","regulation of proteolysis",430,12,4.98,"0.00453"
"GO:2000026","regulation of multicellular organismal d...",1501,29,17.4,"0.00455"
"GO:0033197","response to vitamin E",9,2,0.1,"0.00456"
"GO:0043951","negative regulation of cAMP-mediated sig...",9,2,0.1,"0.00456"
"GO:0051541","elastin metabolic process",9,2,0.1,"0.00456"
"GO:0003007","heart morphogenesis",272,9,3.15,"0.00458"
"GO:0023052","signaling",6724,97,77.95,"0.00460"
"GO:0050680","negative regulation of epithelial cell p...",177,7,2.05,"0.00466"
"GO:0043588","skin development",324,10,3.76,"0.00467"
"GO:0008543","fibroblast growth factor receptor signal...",135,6,1.57,"0.00493"
"GO:0072012","glomerulus vasculature development",30,3,0.35,"0.00495"
"GO:0099623","regulation of cardiac muscle cell membra...",30,3,0.35,"0.00495"
"GO:1902230","negative regulation of intrinsic apoptot...",30,3,0.35,"0.00495"
"GO:0051492","regulation of stress fiber assembly",95,5,1.1,"0.00498"
"GO:0090316","positive regulation of intracellular pro...",95,5,1.1,"0.00498"
"GO:0065008","regulation of biological quality",3098,51,35.91,"0.00501"
"GO:0034330","cell junction organization",853,19,9.89,"0.00502"
"GO:0042180","ketone metabolic process",227,8,2.63,"0.00509"
"GO:0001936","regulation of endothelial cell prolifera...",180,7,2.09,"0.00510"
"GO:0042327","positive regulation of phosphorylation",437,12,5.07,"0.00514"
"GO:0042733","embryonic digit morphogenesis",60,4,0.7,"0.00516"
"GO:0043434","response to peptide hormone",494,13,5.73,"0.00519"
"GO:0007154","cell communication",6749,97,78.24,"0.00519"
"GO:0006644","phospholipid metabolic process",383,11,4.44,"0.00524"
"GO:0000278","mitotic cell cycle",921,20,10.68,"0.00532"
"GO:0072330","monocarboxylic acid biosynthetic process",229,8,2.65,"0.00536"
"GO:0086019","cell-cell signaling involved in cardiac ...",31,3,0.36,"0.00544"
"GO:0019915","lipid storage",97,5,1.12,"0.00544"
"GO:0061337","cardiac conduction",97,5,1.12,"0.00544"
"GO:0170062","nutrient storage",97,5,1.12,"0.00544"
"GO:0001706","endoderm formation",61,4,0.71,"0.00547"
"GO:0042306","regulation of protein import into nucleu...",61,4,0.71,"0.00547"
"GO:0060612","adipose tissue development",61,4,0.71,"0.00547"
"GO:0048523","negative regulation of cellular process",5700,84,66.08,"0.00560"
"GO:0009314","response to radiation",442,12,5.12,"0.00561"
"GO:0006868","glutamine transport",10,2,0.12,"0.00566"
"GO:0006924","activation-induced cell death of T cells",10,2,0.12,"0.00566"
"GO:0014012","peripheral nervous system axon regenerat...",10,2,0.12,"0.00566"
"GO:0018158","protein oxidation",10,2,0.12,"0.00566"
"GO:0032025","response to cobalt ion",10,2,0.12,"0.00566"
"GO:0061299","retina vasculature morphogenesis in came...",10,2,0.12,"0.00566"
"GO:1904667","negative regulation of ubiquitin protein...",10,2,0.12,"0.00566"
"GO:2001241","positive regulation of extrinsic apoptot...",10,2,0.12,"0.00566"
"GO:0030048","actin filament-based movement",139,6,1.61,"0.00568"
"GO:0051247","positive regulation of protein metabolic...",993,21,11.51,"0.00582"
"GO:0061437","renal system vasculature development",32,3,0.37,"0.00595"
"GO:0061440","kidney vasculature development",32,3,0.37,"0.00595"
"GO:0006950","response to stress",4122,64,47.78,"0.00596"
"GO:0051707","response to other organism",1670,31,19.36,"0.00600"
"GO:0051495","positive regulation of cytoskeleton orga...",186,7,2.16,"0.00608"
"GO:0050821","protein stabilization",234,8,2.71,"0.00609"
"GO:0035791","platelet-derived growth factor receptor-...",63,4,0.73,"0.00614"
"GO:0043207","response to external biotic stimulus",1673,31,19.39,"0.00616"
"GO:0051130","positive regulation of cellular componen...",1129,23,13.09,"0.00616"
"GO:0006637","acyl-CoA metabolic process",100,5,1.16,"0.00618"
"GO:0035383","thioester metabolic process",100,5,1.16,"0.00618"
"GO:0046824","positive regulation of nucleocytoplasmic...",64,4,0.74,"0.00649"
"GO:0006913","nucleocytoplasmic transport",340,10,3.94,"0.00649"
"GO:0051169","nuclear transport",340,10,3.94,"0.00649"
"GO:0071826","protein-RNA complex organization",237,8,2.75,"0.00656"
"GO:0048009","insulin-like growth factor receptor sign...",102,5,1.18,"0.00671"
"GO:0009410","response to xenobiotic stimulus",453,12,5.25,"0.00678"
"GO:0048736","appendage development",190,7,2.2,"0.00680"
"GO:0060173","limb development",190,7,2.2,"0.00680"
"GO:0001731","formation of translation preinitiation c...",11,2,0.13,"0.00687"
"GO:0014745","negative regulation of muscle adaptation",11,2,0.13,"0.00687"
"GO:0016093","polyprenol metabolic process",11,2,0.13,"0.00687"
"GO:0016479","negative regulation of transcription by ...",11,2,0.13,"0.00687"
"GO:0046689","response to mercury ion",11,2,0.13,"0.00687"
"GO:0048251","elastic fiber assembly",11,2,0.13,"0.00687"
"GO:0098903","regulation of membrane repolarization du...",11,2,0.13,"0.00687"
"GO:0030099","myeloid cell differentiation",455,12,5.27,"0.00701"
"GO:0071214","cellular response to abiotic stimulus",344,10,3.99,"0.00703"
"GO:0104004","cellular response to environmental stimu...",344,10,3.99,"0.00703"
"GO:0007160","cell-matrix adhesion",240,8,2.78,"0.00705"
"GO:0034765","regulation of monoatomic ion transmembra...",345,10,4,"0.00717"
"GO:0001885","endothelial cell development",66,4,0.77,"0.00723"
"GO:0097192","extrinsic apoptotic signaling pathway in...",66,4,0.77,"0.00723"
"GO:0001667","ameboidal-type cell migration",243,8,2.82,"0.00758"
"GO:0030219","megakaryocyte differentiation",67,4,0.78,"0.00762"
"GO:0071300","cellular response to retinoic acid",67,4,0.78,"0.00762"
"GO:0007212","G protein-coupled dopamine receptor sign...",35,3,0.41,"0.00765"
"GO:0110020","regulation of actomyosin structure organ...",106,5,1.23,"0.00787"
"GO:0038034","signal transduction in absence of ligand",68,4,0.79,"0.00802"
"GO:0008203","cholesterol metabolic process",150,6,1.74,"0.00814"
"GO:0014074","response to purine-containing compound",150,6,1.74,"0.00814"
"GO:0010269","response to selenium ion",12,2,0.14,"0.00818"
"GO:0071493","cellular response to UV-B",12,2,0.14,"0.00818"
"GO:0006979","response to oxidative stress",408,11,4.73,"0.00826"
"GO:0019934","cGMP-mediated signaling",36,3,0.42,"0.00828"
"GO:0030224","monocyte differentiation",36,3,0.42,"0.00828"
"GO:0051438","regulation of ubiquitin-protein transfer...",36,3,0.42,"0.00828"
"GO:0046165","alcohol biosynthetic process",152,6,1.76,"0.00866"
"GO:0030324","lung development",199,7,2.31,"0.00867"
"GO:0051093","negative regulation of developmental pro...",1032,21,11.96,"0.00885"
"GO:0034694","response to prostaglandin",37,3,0.43,"0.00893"
"GO:0032760","positive regulation of tumor necrosis fa...",110,5,1.28,"0.00916"
"GO:0001934","positive regulation of protein phosphory...",414,11,4.8,"0.00916"
"GO:0019725","cellular homeostasis",840,18,9.74,"0.00916"
"GO:0001654","eye development",415,11,4.81,"0.00932"
"GO:0007179","transforming growth factor beta receptor...",252,8,2.92,"0.00933"
"GO:0045444","fat cell differentiation",252,8,2.92,"0.00933"
"GO:0051716","cellular response to stimulus",7631,106,88.46,"0.00943"
"GO:1901655","cellular response to ketone",111,5,1.29,"0.00950"
"GO:0042373","vitamin K metabolic process",13,2,0.15,"0.00959"
"GO:0061684","chaperone-mediated autophagy",13,2,0.15,"0.00959"
"GO:0030323","respiratory tube development",203,7,2.35,"0.00961"
"GO:0043086","negative regulation of catalytic activit...",306,9,3.55,"0.00961"
"GO:0008207","C21-steroid hormone metabolic process",38,3,0.44,"0.00962"
"GO:0071404","cellular response to low-density lipopro...",38,3,0.44,"0.00962"
"GO:0150063","visual system development",419,11,4.86,"0.00996"
"GO:0048519","negative regulation of biological proces...",5906,85,68.47,"0.01020"
"GO:0044087","regulation of cellular component biogene...",1046,21,12.13,"0.01021"
"GO:0061035","regulation of cartilage development",73,4,0.85,"0.01025"
"GO:0006516","glycoprotein catabolic process",39,3,0.45,"0.01033"
"GO:0055094","response to lipoprotein particle",39,3,0.45,"0.01033"
"GO:0030038","contractile actin filament bundle assemb...",114,5,1.32,"0.01059"
"GO:0034440","lipid oxidation",114,5,1.32,"0.01059"
