,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
19,GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),21/705,5.031167494758221e-05,0.0038594366351914,0,0,2.873172514619883,28.436573906803083,NPM1;RPL10;RPS6;HIP1R;HTRA1;DHCR24;RPS3A;PIK3R1;FSTL1;CLU;CIDEC;AQP1;PRDX2;SFRP2;MAP3K20;FLNA;ANGPTL4;NOP53;TPT1;HSPA1A;PHLDA3
20,GO_Biological_Process_2023,Regulation Of Integrin-Mediated Signaling Pathway (GO:2001044),4/19,5.293491644277612e-05,0.0038594366351914,0,0,23.84313725490196,234.77019660861689,CD63;FLNA;LAMC1;LIMS2
21,GO_Biological_Process_2023,Regulation Of Tissue Remodeling (GO:0034103),4/19,5.293491644277612e-05,0.0038594366351914,0,0,23.84313725490196,234.77019660861689,CST3;LEP;THBS4;DDR2
22,GO_Biological_Process_2023,Ribosomal Large Subunit Assembly (GO:0000027),4/22,9.728964220636674e-05,0.0067848950477831,0,0,19.86626445449975,183.5209358986423,RPL10;RPL11;RPL23A;NOP53
23,GO_Biological_Process_2023,Cellular Response To Prostaglandin Stimulus (GO:0071379),3/9,0.00011225708380735304,0.0075025151011247,0,0,44.52477477477478,404.9403118163773,GNG2;AKR1C3;AKR1C2
24,GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),16/482,0.00011974494192775918,0.007682835474085,0,0,3.172105057806436,28.644573579403023,YAP1;NTRK2;NPM1;RPL10;DHCR24;RPS3A;PIK3R1;FSTL1;CLU;AQP1;PRDX2;PDK4;FLNA;ANGPTL4;TPT1;HSPA1A
25,GO_Biological_Process_2023,Positive Regulation Of Cell-Substrate Adhesion (GO:0010811),6/71,0.000147617621449385,0.009106871723262,0,0,8.307692307692308,73.28120067479458,ECM2;CCDC80;FLNA;UTRN;FBLN2;LIMS2
26,GO_Biological_Process_2023,Diterpenoid Metabolic Process (GO:0016101),4/28,0.0002582846437855866,0.0153440210604474,0,0,14.895173453996984,123.05570556927822,ADH1B;AKR1C1;AKR1C3;RDH5
27,GO_Biological_Process_2023,Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900),7/112,0.00027680519597294943,0.0158569833693075,0,0,6.015290519877676,49.27844232129582,CDKN2B;CDKN2C;CCNI;CCND1;LRP5;SOS1;CALM2
28,GO_Biological_Process_2023,Positive Regulation Of Integrin-Mediated Signaling Pathway (GO:2001046),3/12,0.00028675231666498415,0.0158603695148494,0,0,29.67867867867868,242.08576846210312,FLNA;LAMC1;LIMS2
29,GO_Biological_Process_2023,Prostaglandin Metabolic Process (GO:0006693),4/30,0.0003396689078729848,0.0181609642742755,0,0,13.747998607727114,109.81267800945024,AKR1C1;AKR1C3;AKR1C2;CES1
30,GO_Biological_Process_2023,Positive Regulation Of Protein Phosphorylation (GO:0001934),13/377,0.0003629081148097056,0.018777568263057,0,0,3.270047169811321,25.903223736467453,NTRK2;MMD;LIMCH1;ATP2B4;PTPN11;THBS4;SFRP2;CCND1;LEP;ENPP2;APLNR;CALM2;DDR2
31,GO_Biological_Process_2023,Cellular Response To cAMP (GO:0071320),4/31,0.0003865728755818412,0.0192578165103484,0,0,13.238143120496062,104.02784594136084,IGFBP5;PDE2A;RAPGEF3;AQP1
32,GO_Biological_Process_2023,Positive Regulation Of Cell Population Proliferation (GO:0008284),15/483,0.0003962019606243754,0.0192578165103484,0,0,2.946733821733822,23.083494211770763,YAP1;NTRK2;NPM1;RPS6;LRP5;AKR1C3;AKR1C2;NAP1L1;LAMC1;S100B;AQP1;RPS4X;SFRP2;RPS15A;DDR2
34,GO_Biological_Process_2023,Positive Regulation Of Potassium Ion Transport (GO:0043268),3/15,0.0005784445544536656,0.0265092875812479,0,0,22.25563063063063,165.91946217182482,KIF5B;FHL1;FLNA
33,GO_Biological_Process_2023,Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902229),3/15,0.0005784445544536656,0.0265092875812479,0,0,22.25563063063063,165.91946217182482,SFRP2;CLU;TPT1
35,GO_Biological_Process_2023,Cellular Response To Gamma Radiation (GO:0071480),3/16,0.000706042419746059,0.0314581122575744,0,0,20.542619542619544,149.05386275097425,YAP1;MAP3K20;RPL26
36,GO_Biological_Process_2023,Epithelial Cell Differentiation (GO:0030855),7/132,0.0007454257080852766,0.0323152117775346,0,0,5.047706422018349,36.35133583862779,YAP1;TAGLN;AKR1C1;AKR1C2;ALDOC;FSTL1;CES1
37,GO_Biological_Process_2023,Triglyceride Biosynthetic Process (GO:0019432),3/17,0.0008502487440617584,0.035072709390881,0,0,19.074324324324323,134.85512221938134,DGAT2;LPGAT1;GPAM
38,GO_Biological_Process_2023,Response To cAMP (GO:0051591),4/38,0.0008527653779578305,0.035072709390881,0,0,10.508916688847483,74.26678855913258,IGFBP5;PDE2A;RAPGEF3;AQP1
39,GO_Biological_Process_2023,Retinoid Metabolic Process (GO:0001523),4/40,0.0010374375220727,0.0406936278359555,0,0,9.924082453494218,68.18838569562143,ADH1B;AKR1C1;AKR1C3;RDH5
40,GO_Biological_Process_2023,Regulation Of RNA Splicing (GO:0043484),6/102,0.0010401737788492,0.0406936278359555,0,0,5.61615296803653,38.57380243499002,FUS;PIK3R1;HNRNPA1;SLC38A2;RPS13;HSPA1A
41,GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),19/766,0.0011033244388858,0.0421364857136406,0,0,2.3494105873331512,15.998140920570384,YAP1;NTRK2;NPM1;CDKN2B;CDKN2C;RPS6;NPR3;LRP5;AKR1C3;AKR1C2;NAP1L1;S100B;CLU;RPS4X;SFRP2;RPS15A;SOS1;PLPP1;HSPA1A
42,GO_Biological_Process_2023,Negative Regulation Of Epithelial Cell Proliferation (GO:0050680),5/70,0.0011517423055074,0.0429626664659063,0,0,6.891608391608392,46.63192645497752,CDKN2B;SPARC;SFRP2;CAV2;TNMD
43,GO_Biological_Process_2023,Eye Morphogenesis (GO:0048592),3/19,0.0011916678453525,0.0430965923978407,0,0,16.688344594594593,112.3526345523446,MFAP5;COL5A1;COL5A2
44,GO_Biological_Process_2023,Cellular Response To Organonitrogen Compound (GO:0071417),6/105,0.0012090689887174,0.0430965923978407,0,0,5.445136294451363,36.57990641250005,IGFBP5;PDE2A;ATP2B4;CLU;RAPGEF3;AQP1
46,GO_Biological_Process_2023,Negative Regulation Of Programmed Cell Death (GO:0043069),12/381,0.0013288184802375,0.0453494647298075,0,0,2.9628611779075538,19.62440758519678,PRDX2;NPM1;RPL10;FLNA;DHCR24;RPS3A;PIK3R1;ANGPTL4;FSTL1;TPT1;HSPA1A;AQP1
45,GO_Biological_Process_2023,Negative Regulation Of Catabolic Process (GO:0009895),5/72,0.001307534698262,0.0453494647298075,0,0,6.685210312075983,44.38720143739333,CST3;NQO1;RPL11;FLNA;CIDEC
47,GO_Biological_Process_2023,Extracellular Structure Organization (GO:0043062),6/109,0.0014660019139811,0.0486487431698814,0,0,5.232610719510573,34.14391712446318,COL3A1;CCDC80;ECM2;COL5A1;COL4A1;COL5A2
48,GO_Biological_Process_2023,Cellular Response To Ketone (GO:1901655),4/44,0.0014879198466466,0.0486487431698814,0,0,8.929864253393665,58.13677579849362,GNG2;AKR1C3;AKR1C2;AQP1
49,GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),6/110,0.0015362839186001,0.0486487431698814,0,0,5.182033719704952,33.57122930682318,COL3A1;CCDC80;ECM2;COL5A1;COL4A1;COL5A2
50,GO_Biological_Process_2023,Positive Regulation Of Neurogenesis (GO:0050769),5/75,0.0015696741769877,0.0486487431698814,0,0,6.3977272727272725,41.30940341147559,NTRK2;MME;SERPINF1;NAP1L1;SHANK3
51,GO_Biological_Process_2023,Regulation Of Signal Transduction (GO:0009966),8/193,0.0015771412997717,0.0486487431698814,0,0,3.9038485490098394,25.188182743443797,CD63;RGS5;TSPAN15;IGFBP5;AKR1C3;CD46;CLU;YWHAG
52,GO_Biological_Process_2023,Cellular Response To Organic Cyclic Compound (GO:0071407),7/152,0.0016937930985897,0.0512612100026025,0,0,4.347042075292629,27.73754012069686,GNG2;IGFBP5;PDE2A;CLU;RAPGEF3;AQP1;HSPA1A
56,GO_Biological_Process_2023,Regulation Of Cardiac Muscle Cell Membrane Repolarization (GO:0099623),3/22,0.0018473881033586,0.0519861494348646,0,0,14.051209103840684,88.4380638309696,CACNA2D1;FLNA;SCN4B
55,GO_Biological_Process_2023,Response To Gamma Radiation (GO:0010332),3/22,0.0018473881033586,0.0519861494348646,0,0,14.051209103840684,88.4380638309696,YAP1;MAP3K20;RPL26
53,GO_Biological_Process_2023,Negative Regulation Of Blood Vessel Morphogenesis (GO:2000181),5/77,0.0017646525507334,0.0519861494348646,0,0,6.219381313131313,39.42964274846655,SPARC;SERPINF1;TNMD;ATP2B4;THBS4
54,GO_Biological_Process_2023,Acylglycerol Biosynthetic Process (GO:0046463),3/22,0.0018473881033586,0.0519861494348646,0,0,14.051209103840684,88.4380638309696,DGAT2;LPGAT1;GPAM
57,GO_Biological_Process_2023,Regulation Of Signal Transduction By P53 Class Mediator (GO:1901796),4/47,0.0019043231826838,0.0526643859487058,0,0,8.305587709144481,52.023116866070595,RPL11;RPS20;RPL37;NOP53
58,GO_Biological_Process_2023,Cellular Response To UV (GO:0034644),5/79,0.0019768182926295,0.0537426532436914,0,0,6.050675675675675,37.67312016746217,NPM1;MME;MAP3K20;RPL26;AQP1
59,GO_Biological_Process_2023,Secondary Alcohol Biosynthetic Process (GO:1902653),3/24,0.0023881501820741,0.0638432148674477,0,0,12.711711711711713,76.7436060477942,ACLY;DHCR24;CES1
60,GO_Biological_Process_2023,Diacylglycerol Biosynthetic Process (GO:0006651),2/7,0.0025493529458572,0.0655954065220744,0,0,35.46188340807175,211.775378231324,DGAT2;GPAM
61,GO_Biological_Process_2023,Neuroepithelial Cell Differentiation (GO:0060563),2/7,0.0025493529458572,0.0655954065220744,0,0,35.46188340807175,211.775378231324,TUBB2A;MAP1B
62,GO_Biological_Process_2023,Positive Regulation Of Actin Filament Bundle Assembly (GO:0032233),4/51,0.0025763781863408,0.0655954065220744,0,0,7.597188793684413,45.289658449488115,LIMCH1;CCN2;SYNPO;RAPGEF3
63,GO_Biological_Process_2023,Cholesterol Biosynthetic Process (GO:0006695),3/25,0.0026914650889742,0.0664170769648416,0,0,12.133292383292384,71.80081537399941,ACLY;DHCR24;CES1
64,GO_Biological_Process_2023,Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902230),3/25,0.0026914650889742,0.0664170769648416,0,0,12.133292383292384,71.80081537399941,SFRP2;CLU;TPT1
69,GO_Biological_Process_2023,Protein Homotetramerization (GO:0051289),4/53,0.0029666490022987,0.0679786428526736,0,0,7.286360698125404,42.408967257931955,ME1;CLU;GLS;ALDH9A1
67,GO_Biological_Process_2023,Blood Vessel Morphogenesis (GO:0048514),4/53,0.0029666490022987,0.0679786428526736,0,0,7.286360698125404,42.408967257931955,LOX;COL4A1;APLNR;LRP5
68,GO_Biological_Process_2023,Cellular Response To Alcohol (GO:0097306),4/53,0.0029666490022987,0.0679786428526736,0,0,7.286360698125404,42.408967257931955,GNG2;AKR1C3;AKR1C2;CES1
65,GO_Biological_Process_2023,Negative Regulation Of Angiogenesis (GO:0016525),5/86,0.0028674312134753,0.0679786428526736,0,0,5.52581369248036,32.34998493547427,SPARC;SERPINF1;TNMD;ATP2B4;THBS4
66,GO_Biological_Process_2023,Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029),4/53,0.0029666490022987,0.0679786428526736,0,0,7.286360698125404,42.408967257931955,CDKN2B;CDKN2C;CCNI;CCND1
70,GO_Biological_Process_2023,Positive Regulation Of Cell Adhesion (GO:0045785),5/88,0.0031678353527295,0.0692697335911379,0,0,5.3921139101861995,31.03003446870505,ECM2;CCDC80;SFRP2;LAMC1;FBLN2
71,GO_Biological_Process_2023,Negative Regulation Of Protein Catabolic Process (GO:0042177),4/54,0.0031761381453755,0.0692697335911379,0,0,7.14027149321267,41.0714788259908,ALAD;CST3;NQO1;FLNA
72,GO_Biological_Process_2023,Supramolecular Fiber Organization (GO:0097435),10/316,0.0031883729784657,0.0692697335911379,0,0,2.959264325885393,17.01057497527139,CST3;COL3A1;COL5A1;LOX;FUS;COL5A2;HIP1R;HNRNPA1;DDR2;LOXL2
73,GO_Biological_Process_2023,Positive Regulation Of Gene Expression (GO:0010628),13/480,0.0031957358389926,0.0692697335911379,0,0,2.535291503373601,14.567627557383991,YAP1;NTRK2;NPM1;RPL11;PDE2A;PIK3R1;CLU;ACTA2;RPS4X;RPL26;CD46;SLC38A2;HSPA1A
74,GO_Biological_Process_2023,Positive Regulation Of Signal Transduction (GO:0009967),9/266,0.0032704705071333,0.0699444625792248,0,0,3.164396887159533,18.109278282313312,YAP1;CD63;CAV2;FLNA;PTPN11;PIK3R1;LAMC1;SHANK3;LIMS2
75,GO_Biological_Process_2023,Vitamin K Metabolic Process (GO:0042373),2/8,0.0033739867931539,0.0712088791607748,0,0,29.550074738415542,168.18898456650322,NQO1;VKORC1L1
76,GO_Biological_Process_2023,Protein Homooligomerization (GO:0051260),6/129,0.0034228363198573,0.0713016812604054,0,0,4.377324869139103,24.85132405156928,ALAD;FUS;ME1;CLU;GLS;ALDH9A1
77,GO_Biological_Process_2023,Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014066),5/90,0.0034902845734472,0.0717745699462742,0,0,5.264705882352941,29.786505563223177,NTRK2;LEP;NOP53;RAPGEF3;DDR2
79,GO_Biological_Process_2023,Regulation Of Lipid Biosynthetic Process (GO:0046890),3/28,0.0037397794598065,0.0731537347991422,0,0,10.675675675675675,59.66345437075447,ASAH1;PDK4;THRSP
81,GO_Biological_Process_2023,Sterol Biosynthetic Process (GO:0016126),3/28,0.0037397794598065,0.0731537347991422,0,0,10.675675675675675,59.66345437075447,ACLY;DHCR24;CES1
78,GO_Biological_Process_2023,Regulation Of Epithelial Cell Proliferation (GO:0050678),5/91,0.0036600529741889,0.0731537347991422,0,0,5.203224101479916,29.1915319253272,YAP1;CDKN2B;SFRP2;LEP;LAMC1
80,GO_Biological_Process_2023,Regulation Of Nitric-Oxide Synthase Activity (GO:0050999),3/28,0.0037397794598065,0.0731537347991422,0,0,10.675675675675675,59.66345437075447,LEP;NPR3;ATP2B4
82,GO_Biological_Process_2023,Steroid Metabolic Process (GO:0008202),5/92,0.0038356646141282,0.0741253739886945,0,0,5.143155694879833,28.613496975131035,AKR1C1;AKR1C3;RDH5;AKR1C2;DHCR24
83,GO_Biological_Process_2023,Regulation Of Endothelial Cell Proliferation (GO:0001936),5/93,0.0040172297708523,0.0767099589577048,0,0,5.084452479338843,28.051751699225456,SPARC;CAV2;TNMD;LEP;THBS4
84,GO_Biological_Process_2023,Cellular Response To Hormone Stimulus (GO:0032870),5/94,0.0042048584677584,0.0784850706580772,0,0,5.027068437180796,27.50567857146688,AKR1C1;LEP;AKR1C3;AKR1C2;HSPA1A
85,GO_Biological_Process_2023,Negative Regulation Of Transcription By RNA Polymerase I (GO:0016479),2/9,0.0043059141009418,0.0784850706580772,0,0,25.327354260089685,137.97749507528843,FLNA;NOP53
86,GO_Biological_Process_2023,Positive Regulation Of Mitochondrial Membrane Permeability (GO:0035794),2/9,0.0043059141009418,0.0784850706580772,0,0,25.327354260089685,137.97749507528843,HEBP2;HIP1R
87,GO_Biological_Process_2023,Quinone Metabolic Process (GO:1901661),2/9,0.0043059141009418,0.0784850706580772,0,0,25.327354260089685,137.97749507528843,NQO1;VKORC1L1
88,GO_Biological_Process_2023,Negative Regulation Of Protein-Containing Complex Assembly (GO:0031333),4/59,0.0043759052605666,0.0788646296398745,0,0,6.489510489510489,35.24869685088715,PMEPA1;RPL13A;CLU;NOP53
89,GO_Biological_Process_2023,Regulation Of Protein Kinase B Signaling (GO:0051896),6/136,0.0044333523655633,0.0790121910484838,0,0,4.140147523709167,22.433800223171144,NTRK2;LEP;AKR1C3;AKR1C2;NOP53;PHLDA3
90,GO_Biological_Process_2023,Regulation Of Potassium Ion Transport (GO:0043266),3/30,0.0045589569716279,0.0803578789284757,0,0,9.883883883883884,53.28067149220362,CD63;KIF5B;FHL1
91,GO_Biological_Process_2023,Negative Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001243),4/61,0.0049308718515908,0.0859686788038223,0,0,6.261173295229023,33.26085184730901,SFRP2;CLU;TPT1;HSPA1A
92,GO_Biological_Process_2023,Removal Of Superoxide Radicals (GO:0019430),2/10,0.0053426381376369,0.0911658677954213,0,0,22.16031390134529,115.9435537816646,NQO1;PRDX2
93,GO_Biological_Process_2023,Protein Oxidation (GO:0018158),2/10,0.0053426381376369,0.0911658677954213,0,0,22.16031390134529,115.9435537816646,LOX;LOXL2
95,GO_Biological_Process_2023,Positive Regulation Of RNA Metabolic Process (GO:0051254),3/33,0.0059770216033519,0.0998660692893381,0,0,8.894144144144144,45.53653175968294,PIK3R1;SLC38A2;HSPA1A
94,GO_Biological_Process_2023,Regulation Of Potassium Ion Transmembrane Transport (GO:1901379),3/33,0.0059770216033519,0.0998660692893381,0,0,8.894144144144144,45.53653175968294,CD63;FHL1;FLNA
96,GO_Biological_Process_2023,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),4/65,0.0061784685679924,0.1021676658047409,0,0,5.849417698983755,29.754144348352508,RPL30;FAU;CXCL14;RPL39
97,GO_Biological_Process_2023,Positive Regulation Of Vasculature Development (GO:1904018),5/104,0.0064385823833862,0.1029371657168364,0,0,4.516988062442608,22.790223371369688,SFRP2;APLNR;ANGPTL4;RAPGEF3;AQP1
98,GO_Biological_Process_2023,Negative Regulation Of Protein Metabolic Process (GO:0051248),6/147,0.0064436694111405,0.1029371657168364,0,0,3.815019916448072,19.24546737221584,CST3;NQO1;IGFBP5;RPL13A;FLNA;CLU
99,GO_Biological_Process_2023,Cellular Response To UV-B (GO:0071493),2/11,0.0064817043250626,0.1029371657168364,0,0,19.69706028898854,99.24899173152043,MME;MAP3K20
100,GO_Biological_Process_2023,Cellular Response To Superoxide (GO:0071451),2/11,0.0064817043250626,0.1029371657168364,0,0,19.69706028898854,99.24899173152043,NQO1;PRDX2
101,GO_Biological_Process_2023,Regulation Of Programmed Cell Death (GO:0043067),7/195,0.0066799929798753,0.105046164114903,0,0,3.345427483896154,16.756036367397094,PRDX2;ASAH1;MAP3K20;CLU;NOP53;CIDEC;TPT1
102,GO_Biological_Process_2023,Regulation Of Neurogenesis (GO:0050767),4/67,0.0068742043723302,0.1070507166331814,0,0,5.663147310206134,28.20235677289424,YAP1;MME;SERPINF1;NAP1L1
103,GO_Biological_Process_2023,Regulation Of Sodium Ion Transport (GO:0002028),3/35,0.0070530584810745,0.1077438647966049,0,0,8.33741554054054,41.30600719714214,PER1;ATP2B4;SCN4B
104,GO_Biological_Process_2023,Positive Regulation Of Cell Development (GO:0010720),3/35,0.0070530584810745,0.1077438647966049,0,0,8.33741554054054,41.30600719714214,MME;SERPINF1;NAP1L1
107,GO_Biological_Process_2023,Positive Regulation Of RNA Splicing (GO:0033120),3/36,0.0076312864486605,0.1133387357745503,0,0,8.084357084357084,39.41527361829134,PIK3R1;SLC38A2;HSPA1A
105,GO_Biological_Process_2023,Positive Regulation Of Cellular Process (GO:0048522),14/594,0.0075584391332836,0.1133387357745503,0,0,2.1958653374734434,10.727001061774072,YAP1;NTRK2;NPM1;RPS6;LRP5;AKR1C3;AKR1C2;NAP1L1;LAMC1;S100B;RPS4X;SFRP2;RPS15A;CCN2
106,GO_Biological_Process_2023,Regulation Of Glucose Import (GO:0046324),3/36,0.0076312864486605,0.1133387357745503,0,0,8.084357084357084,39.41527361829134,LEP;PTPN11;PIK3R1
108,GO_Biological_Process_2023,Adipose Tissue Development (GO:0060612),2/12,0.0077206996104776,0.1136146988551018,0,0,17.72645739910314,86.21883506646472,DGAT2;LRP5
109,GO_Biological_Process_2023,Cellular Response To Salt (GO:1902075),5/109,0.0078204883140328,0.1140369386882604,0,0,4.2987325174825175,20.853187044946697,NEK7;AKR1C3;ATP2B4;HNRNPA1;CLU
110,GO_Biological_Process_2023,Regulation Of Translation (GO:0006417),7/202,0.0080405312609897,0.1161892985822301,0,0,3.2241825452834627,15.551071092641193,RPS4X;NPM1;RPL10;IGFBP5;RPL13A;RPL26;EIF4B
111,GO_Biological_Process_2023,Negative Regulation Of Endothelial Cell Proliferation (GO:0001937),3/37,0.0082367198568776,0.1179615950931405,0,0,7.846184419713832,37.655040202073685,SPARC;CAV2;TNMD
112,GO_Biological_Process_2023,Cholesterol Homeostasis (GO:0042632),4/72,0.0088351088816225,0.1254116340364828,0,0,5.245408570668086,24.80565173966831,DGAT2;AKR1C1;LRP5;CES1
