term_id,term_name,methods_significant,methods_total,clusterprofiler_pvalue,clusterprofiler_qvalue,clusterprofiler_p_adjust,clusterprofiler_fold_enrichment,clusterprofiler_gene_count,clusterprofiler_significant,gprofiler2_pvalue,gprofiler2_significant,gprofiler2_term_size,gprofiler2_intersection_size,gprofiler2_precision,gprofiler2_recall,topgo_pvalue,topgo_pvalue_raw,topgo_significant_flag,topgo_annotated,topgo_significant,topgo_expected,gseapy_pvalue,gseapy_adjusted_pvalue,gseapy_significant,gseapy_odds_ratio,gseapy_combined_score,gseapy_overlap,clusterprofiler_gene_ids,gseapy_genes
GO:0071398,cellular response to fatty acid,4,4,4.58854304037992e-06,0.0011245223661639,0.001323168956735,13.6202317720908,6.0,True,0.0042330928757303,True,37.0,6.0,0.0273972602739726,0.162162162162162,4.6e-06,4.6e-06,True,38.0,6.0,0.44,2.552391369294673e-05,0.0022744643090825,True,29.80844645550528,315.25099247493995,4/16,PDK4/DGAT2/AKR1C2/LPL/AKR1C1/AKR1C3,DGAT2;AKR1C3;PDK4;AKR1C2
GO:2001046,positive regulation of integrin-mediated signaling pathway,4,4,8.08564818141039e-06,0.00181643377128,0.0021373063359528,28.7538226299694,4.0,True,0.0106177734081768,True,12.0,4.0,0.0182648401826484,0.333333333333333,8.1e-06,8.1e-06,True,12.0,4.0,0.14,0.0002867523166649,0.0158603695148494,True,29.67867867867868,242.08576846210312,3/12,LIMS2/CD63/LAMC1/FLNA,FLNA;LAMC1;LIMS2
GO:0042255,ribosome assembly,4,4,0.0006505270192132,0.0329574012132378,0.0387793177727337,7.18845565749235,5.0,True,0.0987578416782065,True,63.0,6.0,0.0273972602739726,0.0952380952380952,0.00065,0.00065,True,60.0,5.0,0.7,1.9931238009979885e-05,0.0021313137178671,True,12.285803237858032,132.97197967269972,6/50,NOP53/RPL11/FAU/RPS27/NPM1,NPM1;RPS27;RPL10;RPL11;RPL23A;NOP53
GO:0034103,regulation of tissue remodeling,4,4,0.0005568195088677,0.0312722535572418,0.0367964892110084,5.88146371976647,6.0,True,0.284000861604192,True,76.0,6.0,0.0273972602739726,0.0789473684210526,0.00056,0.00056,True,88.0,6.0,1.02,5.293491644277612e-05,0.0038594366351914,True,23.84313725490196,234.77019660861689,4/19,PDK4/TF/CST3/THBS4/DDR2/LEP,CST3;LEP;THBS4;DDR2
GO:2001044,regulation of integrin-mediated signaling pathway,4,4,9.00672805322564e-05,0.0110364739446463,0.0129860642658326,16.430755788554,4.0,True,0.0973373971451483,True,20.0,4.0,0.0182648401826484,0.2,9e-05,9.0e-05,True,21.0,4.0,0.24,5.293491644277612e-05,0.0038594366351914,True,23.84313725490196,234.77019660861689,4/19,LIMS2/CD63/LAMC1/FLNA,CD63;FLNA;LAMC1;LIMS2
GO:0010811,positive regulation of cell-substrate adhesion,4,4,0.0006724030509143,0.0329574012132378,0.0387793177727337,4.79230377166157,7.0,True,0.71540420220903,True,126.0,7.0,0.0319634703196347,0.0555555555555556,0.00067,0.00067,True,126.0,7.0,1.46,0.0001476176214493,0.009106871723262,True,8.307692307692308,73.28120067479458,6/71,LIMS2/CCDC80/ECM2/UTRN/FBLN2/FLNA/EGFL6,ECM2;CCDC80;FLNA;UTRN;FBLN2;LIMS2
GO:0016101,diterpenoid metabolic process,4,4,0.0005913827127612,0.0322489563223583,0.0379457262716885,5.81537985774662,6.0,True,0.634809906204934,True,88.0,6.0,0.0273972602739726,0.0681818181818182,0.00059,0.00059,True,89.0,6.0,1.03,0.0002582846437855,0.0153440210604474,True,14.895173453996984,123.05570556927822,4/28,RETSAT/DGAT2/RDH5/AKR1C1/AKR1C3/ADH1B,ADH1B;AKR1C1;AKR1C3;RDH5
GO:0001523,retinoid metabolic process,4,4,0.0004339604797116,0.0272061882139924,0.0320121544568703,6.16153342070773,6.0,True,0.46160054087266,True,83.0,6.0,0.0273972602739726,0.072289156626506,0.00043,0.00043,True,84.0,6.0,0.97,0.0010374375220727,0.0406936278359555,True,9.924082453494218,68.18838569562143,4/40,RETSAT/DGAT2/RDH5/AKR1C1/AKR1C3/ADH1B,ADH1B;AKR1C1;AKR1C3;RDH5
GO:0022613,ribonucleoprotein complex biogenesis,3,4,1.64669461873908e-08,8.87828403913848e-06,1.04466306612807e-05,4.01622218920626,23.0,True,1.0,False,1849.0,23.0,0.105022831050228,0.0124391563007031,1.6e-08,1.6e-08,True,494.0,23.0,5.73,3.2539717834395284e-13,8.698951234395005e-11,True,14.765362604371893,424.55924778099774,16/118,EIF4B/RPS16/NOP53/RPS13/RPS12/RPS25/RPS15A/RPL35/RPS6/RPS24/RPL13A/RPL11/RPS8/RPS3A/RPL7/FAU/RPL26/PRPF8/RPS27/NPM1/RPS23/RPL14/RPS4X,NPM1;RPS8;RPS6;RPL11;RPS3A;RPL7;RPS4X;RPS25;RPS16;RPS27;RPS15A;RPL14;RPL26;RPS13;RPS24;RPS23
GO:0070542,response to fatty acid,3,4,4.37288770686238e-07,0.0001548783254796,0.0001822375423664,11.5015290519878,8.0,True,0.0003916450120573,True,60.0,8.0,0.0365296803652968,0.133333333333333,4.4e-07,4.4e-07,True,60.0,8.0,0.7,0.0189974257400324,0.1761379820058496,False,10.423634924821949,41.31357456740363,2/19,PDK4/DGAT2/SCD/ALAD/AKR1C2/LPL/AKR1C1/AKR1C3,SCD;PDK4
GO:1901798,positive regulation of signal transduction by p53 class mediator,3,4,1.31130884411502e-05,0.0023566750524761,0.0027729811023552,15.9743459055386,5.0,True,0.0189349235767899,True,28.0,5.0,0.0228310502283105,0.178571428571429,1.3e-05,1.3e-05,True,27.0,5.0,0.31,0.0229900922907966,0.1891082463304504,False,9.325466131696956,35.182110779620515,2/21,RPS20/RPL23/RPL11/RPL37/RPL26,RPS20;RPL37
GO:0045765,regulation of angiogenesis,3,4,0.0035174803545632,0.0738016484490755,0.0868386909162218,2.61398387545177,11.0,False,0.532284329042788,True,293.0,11.0,0.0502283105022831,0.037542662116041,0.00352,0.00352,True,363.0,11.0,4.21,2.1731811114215773e-05,0.0021786140642001,True,5.188144329896907,55.70372261930723,11/205,TNMD/ATP2B4/RAPGEF3/SPARC/THBS4/SERPINF1/APLNR/SFRP2/ANGPTL4/LEP/AQP1,SPARC;SFRP2;SERPINF1;TNMD;LEP;APLNR;ATP2B4;ANGPTL4;RAPGEF3;THBS4;AQP1
GO:0006631,fatty acid metabolic process,3,4,2.72377174250956e-05,0.0043192442306916,0.0050822376277884,3.34184863496013,16.0,True,0.0099350386491771,True,400.0,16.0,0.0730593607305936,0.04,2.7e-05,2.7e-05,True,413.0,16.0,4.79,0.0123512401938179,0.1458184781537622,False,3.8185703185703184,16.778793399032995,5/122,PDK4/ECHDC1/SCD/ASAH1/GPAM/LPGAT1/ACLY/AKR1C2/DBI/ACOX1/FASN/LEP/LPL/AKR1C1/AKR1C3/CES1,ACLY;GPAM;ACOX1;FASN;CES1
GO:0061448,connective tissue development,3,4,3.70245530846328e-05,0.005545022248523,0.0065245490213586,3.85360509473817,13.0,True,0.0254765812573272,True,292.0,13.0,0.0593607305936073,0.0445205479452055,3.7e-05,3.7e-05,True,291.0,13.0,3.37,0.3497006392365253,0.4469480679963239,False,2.381515444015444,2.5022054239537663,1/38,DGAT2/BPNT2/ACTA2/LOX/CCN2/COL5A1/LOXL2/SFRP2/LRP5/COL3A1/LEP/LPL/PTPN11,LRP5
GO:0007229,integrin-mediated signaling pathway,3,4,4.55150707705145e-05,0.0064578446672181,0.0075986212886353,6.2170427308042,8.0,True,0.0590497514845587,True,116.0,8.0,0.0365296803652968,0.0689655172413793,4.6e-05,4.6e-05,True,111.0,8.0,1.29,0.2480117843254367,0.3777881311092122,False,2.1278297044680965,2.9667883076354675,2/85,LIMS2/MYH9/CCN2/CD63/LAMC1/COL3A1/PTPN11/FLNA,COL3A1;MYH9
GO:0000027,ribosomal large subunit assembly,3,4,0.0181150133149791,0.142872009480988,0.168110313693873,9.58460754332314,2.0,False,0.206614860960167,True,24.0,4.0,0.0182648401826484,0.166666666666667,0.01812,0.01812,True,18.0,2.0,0.21,9.728964220636674e-05,0.0067848950477831,True,19.86626445449975,183.5209358986423,4/22,NOP53/RPL11,RPL10;RPL11;RPL23A;NOP53
GO:0048545,response to steroid hormone,3,4,0.000167343042528,0.0173372556399581,0.020399877448438,3.31774876499647,13.0,True,0.123690686482479,True,340.0,13.0,0.0593607305936073,0.0382352941176471,0.00017,0.00017,True,338.0,13.0,3.92,0.0419236510197617,0.2711513557891045,False,6.559707689752533,20.806770589352173,2/29,PLPP1/MAOB/LOX/PMEPA1/SERPINF1/YAP1/IDH1/ALAD/PER1/AKR1C3/HSPA1A/AQP1/TXNIP,YAP1;HSPA1A
GO:0010038,response to metal ion,3,4,0.0002163070505171,0.0194372756622582,0.0228708654746775,3.23169764429051,13.0,True,0.170538964698757,True,351.0,13.0,0.0593607305936073,0.037037037037037,0.00022,0.00022,True,347.0,13.0,4.02,0.1620591117917076,0.3324817019990945,False,2.8515839722262406,5.189295753048284,2/64,MAOB/TF/SERPINF1/LOXL2/CALM2/ALAD/NEK7/FABP4/NQO1/AKR1C3/ASPH/AQP1/TXNIP,CALM2;LOXL2
GO:0032231,regulation of actin filament bundle assembly,3,4,0.0002498446603255,0.0210477689175569,0.02476585195477,5.64327360027437,7.0,True,0.205343206149278,True,103.0,7.0,0.0319634703196347,0.0679611650485437,0.00025,0.00025,True,107.0,7.0,1.24,0.0343015984280023,0.2371541546487746,False,7.380792227204784,24.892189171200208,2/26,LIMCH1/RAPGEF3/CCN2/PIK3R1/SYNPO/FLNA/SHANK3,SYNPO;SHANK3
GO:0071248,cellular response to metal ion,3,4,0.0002805205622504,0.0219386076463095,0.0258140571188556,4.26567698356689,9.0,True,0.381738178037469,True,192.0,9.0,0.0410958904109589,0.046875,0.00028,0.00028,True,182.0,9.0,2.11,0.0663020378346804,0.2808003705916951,False,2.7141031397879174,7.3648129017941315,4/135,TF/SERPINF1/ALAD/NEK7/FABP4/NQO1/AKR1C3/ASPH/AQP1,NEK7;AKR1C3;CLU;AQP1
GO:0010810,regulation of cell-substrate adhesion,3,4,0.0002958262530543,0.0219386076463095,0.0258140571188556,3.85095838794233,10.0,True,0.194400597923126,True,217.0,10.0,0.045662100456621,0.0460829493087558,0.0003,0.00030,True,224.0,10.0,2.6,0.0132570106835071,0.1497337297435611,False,6.5042847725774555,28.11951098090852,3/44,LIMCH1/LIMS2/CCDC80/ECM2/PIK3R1/UTRN/FBLN2/APOD/FLNA/EGFL6,ECM2;CCDC80;FBLN2
GO:0006641,triglyceride metabolic process,3,4,0.0002961145155269,0.0219386076463095,0.0258140571188556,5.48936613844871,7.0,True,0.246009498120488,True,106.0,7.0,0.0319634703196347,0.0660377358490566,0.0003,0.00030,True,110.0,7.0,1.28,0.0140883103789375,0.1532146179873628,False,6.349099099099099,27.06246270744963,3/45,DGAT2/GPAM/LPGAT1/THRSP/LPL/PTPN11/CIDEC,LPGAT1;DGAT2;GPAM
GO:0042632,cholesterol homeostasis,3,4,0.000312981785847,0.0219386076463095,0.0258140571188556,5.43991238945367,7.0,True,0.0999943207892309,True,92.0,7.0,0.0319634703196347,0.0760869565217391,0.00031,0.00031,True,111.0,7.0,1.29,0.0088351088816225,0.1254116340364828,False,5.245408570668086,24.80565173966831,4/72,DGAT2/ACOX1/LRP5/FABP4/LPL/AKR1C1/CES1,DGAT2;AKR1C1;LRP5;CES1
GO:0050678,regulation of epithelial cell proliferation,3,4,0.0003213067727964,0.0219386076463095,0.0258140571188556,2.94551353770418,14.0,True,0.0604691273150285,True,364.0,14.0,0.0639269406392694,0.0384615384615385,0.00032,0.00032,True,410.0,14.0,4.75,0.0036600529741889,0.0731537347991422,False,5.203224101479916,29.1915319253272,5/91,TNMD/LIMS2/CAV2/CCND1/SPARC/THBS4/NRP2/SERPINF1/APLNR/LAMC1/YAP1/SFRP2/CDKN2B/LEP,YAP1;CDKN2B;SFRP2;LEP;LAMC1
GO:0071559,response to transforming growth factor beta,3,4,0.0003245385550416,0.0219386076463095,0.0258140571188556,3.28615115771079,12.0,True,0.0540399143419688,True,269.0,12.0,0.0547945205479452,0.0446096654275093,0.00032,0.00032,True,315.0,12.0,3.65,0.0680079370216056,0.2808003705916951,False,4.917538614848032,13.218987304395547,2/38,MXRA5/CAV2/ACTA2/LOX/FMOD/PMEPA1/CDKN2B/DDR2/HTRA1/COL3A1/PDE2A/HSPA1A,PDE2A;MXRA5
GO:0055092,sterol homeostasis,3,4,0.0003306116396139,0.0219386076463095,0.0258140571188556,5.39134174311927,7.0,True,0.107187991734829,True,93.0,7.0,0.0319634703196347,0.0752688172043011,0.00033,0.00033,True,112.0,7.0,1.3,0.0092666516865914,0.1270402504725869,False,5.16912584431766,24.19840024136008,4/73,DGAT2/ACOX1/LRP5/FABP4/LPL/AKR1C1/CES1,DGAT2;AKR1C1;LRP5;CES1
GO:1902229,regulation of intrinsic apoptotic signaling pathway in response to DNA damage,3,4,0.0009521447163773,0.0388906318762732,0.0457606521264981,9.08015451472718,4.0,True,1.0,False,38.0,4.0,0.0182648401826484,0.105263157894737,0.00095,0.00095,True,38.0,4.0,0.44,0.0005784445544536,0.0265092875812479,True,22.25563063063063,165.91946217182482,3/15,CLU/TPT1/SFRP2/RPL26,SFRP2;CLU;TPT1
GO:0010763,positive regulation of fibroblast migration,3,4,0.0006307774112872,0.032700828953575,0.0384774220885213,17.2522935779816,3.0,True,0.745449123334459,True,14.0,3.0,0.0136986301369863,0.214285714285714,0.00063,0.00063,True,15.0,3.0,0.17,0.0761522202041068,0.2808003705916951,False,14.70907738095238,37.87618379963296,1/7,ACTA2/DDR2/AQP1,DDR2
GO:0034644,cellular response to UV,3,4,0.0006654896625721,0.0329574012132378,0.0387793177727337,5.68756931142252,6.0,True,0.716867823560914,True,90.0,6.0,0.0273972602739726,0.0666666666666667,0.00067,0.00067,True,91.0,6.0,1.05,0.0019768182926295,0.0537426532436914,False,6.050675675675675,37.67312016746217,5/79,MAP3K20/PIK3R1/RPL26/NPM1/MME/AQP1,NPM1;MME;MAP3K20;RPL26;AQP1
GO:0019216,regulation of lipid metabolic process,3,4,0.0006920350155358,0.0332011945691466,0.0390661771630872,3.01789392034665,12.0,True,0.0664904997310601,True,320.0,13.0,0.0593607305936073,0.040625,0.00069,0.00069,True,343.0,12.0,3.98,0.1234530021588526,0.3082142007060491,False,3.401690238013108,7.115977931869025,2/54,PDK4/PLPP1/ASAH1/LPGAT1/IDH1/SCARB2/THRSP/LEP/CIDEC/APOD/AKR1C3/CES1,THRSP;PLPP1
GO:0032233,positive regulation of actin filament bundle assembly,3,4,0.0007020088582269,0.0332011945691466,0.0390661771630872,7.07061212212363,5.0,True,0.935475563817104,True,62.0,5.0,0.0228310502283105,0.0806451612903226,0.0007,0.00070,True,61.0,5.0,0.71,0.0025763781863408,0.0655954065220744,False,7.597188793684413,45.289658449488115,4/51,LIMCH1/RAPGEF3/CCN2/SYNPO/FLNA,LIMCH1;CCN2;SYNPO;RAPGEF3
GO:0045785,positive regulation of cell adhesion,3,4,0.0007482348384252,0.0347773034701825,0.0409207053014635,2.59303009689103,15.0,True,0.390855263090953,True,488.0,15.0,0.0684931506849315,0.0307377049180328,0.00075,0.00075,True,499.0,15.0,5.78,0.0031678353527295,0.0692697335911379,False,5.3921139101861995,31.03003446870505,5/88,LIMS2/APBB1IP/CCDC80/ECM2/CD46/GPAM/LAMC1/SFRP2/UTRN/FBLN2/YWHAG/LEP/PTPN11/FLNA/EGFL6,ECM2;CCDC80;SFRP2;LAMC1;FBLN2
GO:0016042,lipid catabolic process,3,4,0.0008251158716433,0.037072311355766,0.043621125747546,2.95753604193971,12.0,True,0.716333019583168,True,354.0,12.0,0.0547945205479452,0.0338983050847458,0.00083,0.00083,True,350.0,12.0,4.06,0.2115670863464824,0.3594847526480484,False,4.409598214285714,6.849045878245344,1/21,PLPP1/ECHDC1/ASAH1/ENPP2/IDH1/SCARB2/ACOX1/LEP/LPL/CIDEC/AKR1C3/CES1,CES1
GO:0010959,regulation of metal ion transport,3,4,0.000886617320009,0.0385505425559113,0.0453604861140114,2.78262799644865,13.0,True,0.32016232174521,True,374.0,13.0,0.0593607305936073,0.0347593582887701,0.00089,0.00089,True,403.0,13.0,4.67,0.0558633556467816,0.2765580940044374,False,5.5333520179372195,15.962872020178086,2/34,FHL1/ATP2B4/TF/APLNR/CD63/CALM2/UTRN/CACNA2D1/KIF5B/SCN4B/PER1/FLNA/ASPH,PER1;CACNA2D1
GO:0071711,basement membrane organization,3,4,0.0009521447163773,0.0388906318762732,0.0457606521264981,9.08015451472718,4.0,True,0.101059525400755,True,39.0,5.0,0.0228310502283105,0.128205128205128,0.00095,0.00095,True,38.0,4.0,0.44,0.1069947692716383,0.3010870349328207,False,9.804563492063492,21.912957536249337,1/10,CAV2/LAMC1/COL3A1/COL4A1,COL4A1
GO:0071560,cellular response to transforming growth factor beta stimulus,3,4,0.0009732355871303,0.0391587798686703,0.0460761683936943,3.08076671035387,11.0,True,0.201194885198073,True,262.0,11.0,0.0502283105022831,0.0419847328244275,0.00097,0.00097,True,308.0,11.0,3.57,0.2938638728297086,0.4110818146060088,False,1.8777788378971472,2.2996005156068344,2/96,CAV2/ACTA2/LOX/FMOD/PMEPA1/CDKN2B/DDR2/HTRA1/COL3A1/PDE2A/HSPA1A,COL3A1;PDE2A
GO:0046683,response to organophosphorus,3,4,0.001010199174185,0.0396311762328145,0.046632013455667,4.4728168535508,7.0,True,0.947556820559206,True,132.0,7.0,0.0319634703196347,0.053030303030303,0.00101,0.00101,True,135.0,7.0,1.57,0.1843209055323321,0.3421883477706722,False,5.188550420168068,8.77423822004505,1/18,RAPGEF3/IGFBP5/PER1/PDE2A/AKR1C1/ASPH/AQP1,AKR1C1
GO:0035904,aorta development,3,4,0.0010774438454781,0.0396311762328145,0.046632013455667,6.43742297685882,5.0,True,0.867302418356862,True,61.0,5.0,0.0228310502283105,0.0819672131147541,0.00108,0.00108,True,67.0,5.0,0.78,0.0104890292346004,0.1335270070817394,False,14.770553064275038,67.31569374910849,2/14,LOX/APLNR/COL3A1/LEP/PDE2A,PDE2A;APLNR
GO:0006639,acylglycerol metabolic process,3,4,0.0011007931086415,0.0396311762328145,0.046632013455667,4.4075202571486,7.0,True,0.991499102163128,True,133.0,7.0,0.0319634703196347,0.0526315789473684,0.0011,0.00110,True,137.0,7.0,1.59,0.3714441422411145,0.457952654999806,False,2.2025669642857144,2.181327134167303,1/41,DGAT2/GPAM/LPGAT1/THRSP/LPL/PTPN11/CIDEC,DGAT2
GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,3,4,0.0015575144774149,0.0493968368626592,0.0581227755571797,3.10293049963699,10.0,True,0.912797393342208,True,263.0,10.0,0.045662100456621,0.0380228136882129,0.00156,0.00156,True,278.0,10.0,3.22,0.0044333523655633,0.0790121910484838,False,4.140147523709167,22.433800223171144,6/136,RAPGEF3/NOP53/LOX/IGFBP5/NTRK2/AKR1C2/DDR2/PHLDA3/LEP/AKR1C3,NTRK2;LEP;AKR1C3;AKR1C2;NOP53;PHLDA3
GO:0006412,translation,3,3,,,,,,,1.25332028206341e-24,True,727.0,51.0,0.232876712328767,0.0701513067400275,4.2e-25,4.2e-25,True,754.0,51.0,8.74,3.3092447461549327e-41,1.3270071432081284e-38,True,25.057865658621697,2335.6253362993134,44/234,,RPL4;RPL30;RPL3;RPL10;RPL32;RPL12;RPLP1;RPL11;RPL8;RPL10A;RPL9;RPL7;RPS4X;RPS16;RPS15A;RPL18A;RPS18;RPL14;RPL13;RPL35;RPLP2;RPL15;RPL37;RPS2;RPL39;RPS13;RPL19;RPL41;RPL21;RPS8;RPS6;RPL13A;RPS3A;RPL23A;EEF1A1;RPS25;RPS27;RPL37A;RPS20;RPL26;FAU;RPL29;RPS24;RPS23
GO:0042127,regulation of cell population proliferation,3,3,,,,,,,2.30342758473102e-06,True,1685.0,46.0,0.210045662100457,0.027299703264095,4.6e-07,4.6e-07,True,1786.0,45.0,20.7,0.0011033244388858,0.0421364857136406,True,2.3494105873331512,15.998140920570384,19/766,,YAP1;NTRK2;NPM1;CDKN2B;CDKN2C;RPS6;NPR3;LRP5;AKR1C3;AKR1C2;NAP1L1;S100B;CLU;RPS4X;SFRP2;RPS15A;SOS1;PLPP1;HSPA1A
