"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048771","tissue remodeling","11/218","192/18805",0.0572916666666667,4.94206326452599,5.94586075161805,1.5444445819626e-05,0.00306186138374086,0.00260218590421462,"PDK4/SEMA3C/TF/CST3/THBS4/NPR3/IGFBP5/LRP5/DDR2/LEP/FLNA",11
"GO:0006631","fatty acid metabolic process","16/218","413/18805",0.0387409200968523,3.34184863496013,5.21156413121888,2.72377174250956e-05,0.00508223762778842,0.00431924423069162,"PDK4/ECHDC1/SCD/ASAH1/GPAM/LPGAT1/ACLY/AKR1C2/DBI/ACOX1/FASN/LEP/LPL/AKR1C1/AKR1C3/CES1",16
"GO:0061448","connective tissue development","13/218","291/18805",0.0446735395189003,3.85360509473817,5.31298946910736,3.70245530846328e-05,0.00652454902135863,0.00554502224852308,"DGAT2/BPNT2/ACTA2/LOX/CCN2/COL5A1/LOXL2/SFRP2/LRP5/COL3A1/LEP/LPL/PTPN11",13
"GO:0007229","integrin-mediated signaling pathway","8/218","111/18805",0.0720720720720721,6.2170427308042,5.97012580256596,4.55150707705145e-05,0.00759862128863536,0.00645784466721815,"LIMS2/MYH9/CCN2/CD63/LAMC1/COL3A1/PTPN11/FLNA",8
"GO:0016072","rRNA metabolic process","12/218","265/18805",0.0452830188679245,3.90617967803358,5.15987584857688,6.48756347762493e-05,0.0102892756755131,0.0087445526664197,"RPS16/NOP53/RPS25/RPL35/RPS6/RPS24/RPL11/RPS8/RPL7/RPL26/RPS27/RPL14",12
"GO:0031589","cell-substrate adhesion","14/218","361/18805",0.038781163434903,3.34532008437317,4.87278091446496,8.6217526261608e-05,0.0129860642658326,0.0110364739446463,"LIMCH1/LIMS2/CCDC80/ECM2/CCN2/CD63/LAMC1/PIK3R1/UTRN/FBLN2/COL3A1/APOD/FLNA/EGFL6",14
"GO:2001044","regulation of integrin-mediated signaling pathway","4/218","21/18805",0.19047619047619,16.430755788554,7.66216542717806,9.00672805322564e-05,0.0129860642658326,0.0110364739446463,"LIMS2/CD63/LAMC1/FLNA",4
"GO:0016053","organic acid biosynthetic process","13/218","337/18805",0.0385756676557863,3.32759371682139,4.66939820755286,0.000162544202005358,0.020399877448438,0.0173372556399581,"PDK4/ATP2B4/SCD/GLS/LPGAT1/ACLY/CSAD/PLOD2/FASN/UGP2/LPL/AKR1C3/CES1",13
"GO:0048545","response to steroid hormone","13/218","338/18805",0.0384615384615385,3.31774876499647,4.65666775045533,0.000167343042528052,0.020399877448438,0.0173372556399581,"PLPP1/MAOB/LOX/PMEPA1/SERPINF1/YAP1/IDH1/ALAD/PER1/AKR1C3/HSPA1A/AQP1/TXNIP",13
"GO:0030638","polyketide metabolic process","3/218","10/18805",0.3,25.8784403669725,8.52218003148429,0.000173643345242064,0.020399877448438,0.0173372556399581,"AKR1C2/AKR1C1/AKR1C3",3
"GO:0030647","aminoglycoside antibiotic metabolic process","3/218","10/18805",0.3,25.8784403669725,8.52218003148429,0.000173643345242064,0.020399877448438,0.0173372556399581,"AKR1C2/AKR1C1/AKR1C3",3
"GO:0044598","doxorubicin metabolic process","3/218","10/18805",0.3,25.8784403669725,8.52218003148429,0.000173643345242064,0.020399877448438,0.0173372556399581,"AKR1C2/AKR1C1/AKR1C3",3
"GO:0050673","epithelial cell proliferation","16/218","488/18805",0.0327868852459016,2.82824484884945,4.43165369083745,0.000191785844530493,0.0215903991157177,0.0183490449775513,"TNMD/LIMS2/CAV2/CCND1/SPARC/THBS4/IGFBP5/NRP2/SERPINF1/LOXL2/APLNR/LAMC1/YAP1/SFRP2/CDKN2B/LEP",16
"GO:0034308","primary alcohol metabolic process","7/218","103/18805",0.0679611650485437,5.86242985659571,5.35891235281694,0.000197390155849878,0.0215903991157177,0.0183490449775513,"RETSAT/DGAT2/RDH5/AKR1C2/AKR1C1/AKR1C3/ADH1B",7
"GO:0010038","response to metal ion","13/218","347/18805",0.037463976945245,3.23169764429051,4.5441900891275,0.000216307050517126,0.0228708654746775,0.0194372756622582,"MAOB/TF/SERPINF1/LOXL2/CALM2/ALAD/NEK7/FABP4/NQO1/AKR1C3/ASPH/AQP1/TXNIP",13
"GO:0048008","platelet-derived growth factor receptor signaling pathway","7/218","106/18805",0.0660377358490566,5.69651203046564,5.25131293665424,0.000235786559749193,0.024126289274982,0.0205042234131642,"LOX/HIP1R/NTRK2/DDR2/PTPN11/APOD/TXNIP",7
"GO:0032231","regulation of actin filament bundle assembly","7/218","107/18805",0.0654205607476635,5.64327360027437,5.21635697919868,0.000249844660325548,0.02476585195477,0.0210477689175569,"LIMCH1/RAPGEF3/CCN2/PIK3R1/SYNPO/FLNA/SHANK3",7
"GO:0071248","cellular response to metal ion","9/218","182/18805",0.0494505494505494,4.26567698356689,4.79438401053225,0.000280520562250467,0.0258140571188556,0.0219386076463095,"TF/SERPINF1/ALAD/NEK7/FABP4/NQO1/AKR1C3/ASPH/AQP1",9
"GO:0010810","regulation of cell-substrate adhesion","10/218","224/18805",0.0446428571428571,3.85095838794233,4.64867371435798,0.0002958262530543,0.0258140571188556,0.0219386076463095,"LIMCH1/LIMS2/CCDC80/ECM2/PIK3R1/UTRN/FBLN2/APOD/FLNA/EGFL6",10
"GO:0006641","triglyceride metabolic process","7/218","110/18805",0.0636363636363636,5.48936613844871,5.11407806291516,0.000296114515526919,0.0258140571188556,0.0219386076463095,"DGAT2/GPAM/LPGAT1/THRSP/LPL/PTPN11/CIDEC",7
"GO:0042632","cholesterol homeostasis","7/218","111/18805",0.0630630630630631,5.43991238945367,5.08081625647787,0.000312981785847061,0.0258140571188556,0.0219386076463095,"DGAT2/ACOX1/LRP5/FABP4/LPL/AKR1C1/CES1",7
"GO:0050678","regulation of epithelial cell proliferation","14/218","410/18805",0.0341463414634146,2.94551353770418,4.31345238179495,0.000321306772796424,0.0258140571188556,0.0219386076463095,"TNMD/LIMS2/CAV2/CCND1/SPARC/THBS4/NRP2/SERPINF1/APLNR/LAMC1/YAP1/SFRP2/CDKN2B/LEP",14
"GO:0071559","response to transforming growth factor beta","12/218","315/18805",0.0380952380952381,3.28615115771079,4.43139519009552,0.000324538555041655,0.0258140571188556,0.0219386076463095,"MXRA5/CAV2/ACTA2/LOX/FMOD/PMEPA1/CDKN2B/DDR2/HTRA1/COL3A1/PDE2A/HSPA1A",12
"GO:0055088","lipid homeostasis","9/218","186/18805",0.0483870967741935,4.17394199467298,4.71113989164154,0.000329298645825883,0.0258140571188556,0.0219386076463095,"DGAT2/GPAM/ACOX1/LRP5/ANGPTL4/FABP4/LPL/AKR1C1/CES1",9
"GO:0055092","sterol homeostasis","7/218","112/18805",0.0625,5.39134174311927,5.04795486401727,0.000330611639613903,0.0258140571188556,0.0219386076463095,"DGAT2/ACOX1/LRP5/FABP4/LPL/AKR1C1/CES1",7
"GO:0042572","retinol metabolic process","5/218","52/18805",0.0961538461538462,8.29437191249118,5.70430733382703,0.000333662150653556,0.0258140571188556,0.0219386076463095,"RETSAT/DGAT2/RDH5/AKR1C3/ADH1B",5
"GO:0043269","regulation of monoatomic ion transport","15/218","472/18805",0.0317796610169492,2.74136020836573,4.14945983261369,0.000422076263668043,0.0318768073417865,0.0270911606830541,"FHL1/ATP2B4/MAOB/TF/APLNR/CD63/CALM2/UTRN/CACNA2D1/KIF5B/LEP/SCN4B/PER1/FLNA/ASPH",15
"GO:0001523","retinoid metabolic process","6/218","84/18805",0.0714285714285714,6.16153342070773,5.13455232146498,0.000433960479711671,0.0320121544568703,0.0272061882139924,"RETSAT/DGAT2/RDH5/AKR1C1/AKR1C3/ADH1B",6
"GO:0046685","response to arsenic-containing substance","4/218","32/18805",0.125,10.7826834862385,5.99811613187645,0.000489731541949534,0.0353051920696346,0.0300048439936066,"SERPINF1/SLC38A2/HNRNPA1/ALAD",4
"GO:0042445","hormone metabolic process","10/218","240/18805",0.0416666666666667,3.59422782874618,4.3804121655671,0.000509592616418593,0.0359206173173284,0.030527875804632,"RETSAT/DGAT2/RDH5/AKR1C2/LEP/PTPN11/AKR1C1/AKR1C3/MME/ADH1B",10
"GO:0046394","carboxylic acid biosynthetic process","12/218","334/18805",0.0359281437125748,3.09921441520628,4.19211847424401,0.000547801888553973,0.0367964892110084,0.0312722535572418,"PDK4/ATP2B4/SCD/GLS/LPGAT1/ACLY/PLOD2/FASN/UGP2/LPL/AKR1C3/CES1",12
"GO:0006720","isoprenoid metabolic process","7/218","122/18805",0.0573770491803279,4.94942848548654,4.73957697775636,0.000554602724573288,0.0367964892110084,0.0312722535572418,"RETSAT/DGAT2/DHDDS/RDH5/AKR1C1/AKR1C3/ADH1B",7
"GO:0034103","regulation of tissue remodeling","6/218","88/18805",0.0681818181818182,5.88146371976647,4.97075090627891,0.000556819508867718,0.0367964892110084,0.0312722535572418,"PDK4/TF/CST3/THBS4/DDR2/LEP",6
"GO:0016101","diterpenoid metabolic process","6/218","89/18805",0.0674157303370786,5.81537985774662,4.93137189243731,0.000591382712761243,0.0379457262716885,0.0322489563223583,"RETSAT/DGAT2/RDH5/AKR1C1/AKR1C3/ADH1B",6
"GO:0072593","reactive oxygen species metabolic process","10/218","245/18805",0.0408163265306122,3.52087624040442,4.30124617905493,0.000598135660020311,0.0379457262716885,0.0322489563223583,"PDK4/MAOB/CCN2/ACOX1/PRDX2/LEP/NQO1/AKR1C1/AKR1C3/GPX3",10
"GO:0010763","positive regulation of fibroblast migration","3/218","15/18805",0.2,17.2522935779816,6.81939138806131,0.000630777411287234,0.0384774220885213,0.032700828953575,"ACTA2/DDR2/AQP1",3
"GO:0072537","fibroblast activation","3/218","15/18805",0.2,17.2522935779816,6.81939138806131,0.000630777411287234,0.0384774220885213,0.032700828953575,"ACTA2/DDR2/LEP",3
"GO:0042255","ribosome assembly","5/218","60/18805",0.0833333333333333,7.18845565749235,5.1995278030211,0.000650527019213291,0.0387793177727337,0.0329574012132378,"NOP53/RPL11/FAU/RPS27/NPM1",5
"GO:0034644","cellular response to UV","6/218","91/18805",0.0659340659340659,5.68756931142252,4.85438038804427,0.000665489662572116,0.0387793177727337,0.0329574012132378,"MAP3K20/PIK3R1/RPL26/NPM1/MME/AQP1",6
"GO:0010811","positive regulation of cell-substrate adhesion","7/218","126/18805",0.0555555555555556,4.79230377166157,4.62551717716855,0.00067240305091436,0.0387793177727337,0.0329574012132378,"LIMS2/CCDC80/ECM2/UTRN/FBLN2/FLNA/EGFL6",7
"GO:0019216","regulation of lipid metabolic process","12/218","343/18805",0.0349854227405248,3.01789392034665,4.08464894602637,0.000692035015535836,0.0390661771630872,0.0332011945691466,"PDK4/PLPP1/ASAH1/LPGAT1/IDH1/SCARB2/THRSP/LEP/CIDEC/APOD/AKR1C3/CES1",12
"GO:0032233","positive regulation of actin filament bundle assembly","5/218","61/18805",0.0819672131147541,7.07061212212363,5.14298174851228,0.000702008858226977,0.0390661771630872,0.0332011945691466,"LIMCH1/RAPGEF3/CCN2/SYNPO/FLNA",5
"GO:0045785","positive regulation of cell adhesion","15/218","499/18805",0.030060120240481,2.59303009689103,3.90594607638386,0.000748234838425247,0.0409207053014635,0.0347773034701825,"LIMS2/APBB1IP/CCDC80/ECM2/CD46/GPAM/LAMC1/SFRP2/UTRN/FBLN2/YWHAG/LEP/PTPN11/FLNA/EGFL6",15
"GO:0007584","response to nutrient","8/218","169/18805",0.0473372781065089,4.08338309538027,4.36056944255721,0.000811820887600444,0.043621125747546,0.037072311355766,"MAP1B/SFRP2/CDKN2B/ALAD/LEP/LPL/NQO1/AKR1C3",8
"GO:0016042","lipid catabolic process","12/218","350/18805",0.0342857142857143,2.95753604193971,4.00345990148336,0.000825115871643366,0.043621125747546,0.037072311355766,"PLPP1/ECHDC1/ASAH1/ENPP2/IDH1/SCARB2/ACOX1/LEP/LPL/CIDEC/AKR1C3/CES1",12
"GO:0071353","cellular response to interleukin-4","4/218","37/18805",0.108108108108108,9.3255640962063,5.48977129351291,0.000859655907334255,0.0447021071813812,0.0379910056718382,"RPL3/TUBA1B/ALAD/FASN",4
"GO:0010959","regulation of metal ion transport","13/218","403/18805",0.032258064516129,2.78262799644865,3.91768443714337,0.00088661732000905,0.0453604861140114,0.0385505425559113,"FHL1/ATP2B4/TF/APLNR/CD63/CALM2/UTRN/CACNA2D1/KIF5B/SCN4B/PER1/FLNA/ASPH",13
"GO:0051170","import into nucleus","8/218","172/18805",0.0465116279069767,4.01216129720503,4.29783535437163,0.000910105156526062,0.0457606521264981,0.0388906318762732,"RPL23/HNRNPA1/PIK3R1/LEP/NPM1/APOD/FLNA/TXNIP",8
"GO:0042448","progesterone metabolic process","3/218","17/18805",0.176470588235294,15.222611980572,6.35348875143336,0.000926708518264254,0.0457606521264981,0.0388906318762732,"AKR1C2/AKR1C1/AKR1C3",3
"GO:0071711","basement membrane organization","4/218","38/18805",0.105263157894737,9.08015451472718,5.3996145092164,0.000952144716377326,0.0457606521264981,0.0388906318762732,"CAV2/LAMC1/COL3A1/COL4A1",4
"GO:1902229","regulation of intrinsic apoptotic signaling pathway in response to DNA damage","4/218","38/18805",0.105263157894737,9.08015451472718,5.3996145092164,0.000952144716377326,0.0457606521264981,0.0388906318762732,"CLU/TPT1/SFRP2/RPL26",4
"GO:0071560","cellular response to transforming growth factor beta stimulus","11/218","308/18805",0.0357142857142857,3.08076671035387,3.98746440853515,0.000973235587130364,0.0460761683936943,0.0391587798686703,"CAV2/ACTA2/LOX/FMOD/PMEPA1/CDKN2B/DDR2/HTRA1/COL3A1/PDE2A/HSPA1A",11
"GO:0046683","response to organophosphorus","7/218","135/18805",0.0518518518518519,4.4728168535508,4.38556269867415,0.00101019917418508,0.046632013455667,0.0396311762328145,"RAPGEF3/IGFBP5/PER1/PDE2A/AKR1C1/ASPH/AQP1",7
"GO:0008286","insulin receptor signaling pathway","8/218","176/18805",0.0454545454545455,3.92097581317765,4.21636541169046,0.00105576287553823,0.046632013455667,0.0396311762328145,"PDK4/CAV2/SOS1/PIK3R1/NTRK2/DDR2/LEP/PTPN11",8
"GO:0051338","regulation of transferase activity","14/218","463/18805",0.0302375809935205,2.60833812194107,3.79483786698233,0.00105713172225237,0.046632013455667,0.0396311762328145,"MMD/CCND1/CDKN2C/RPL23/RPS2/RPL11/CALM2/CDKN2B/DBI/LRP5/DDR2/YWHAG/LEP/NPM1",14
"GO:0035904","aorta development","5/218","67/18805",0.0746268656716418,6.43742297685882,4.82855987047112,0.00107744384547816,0.046632013455667,0.0396311762328145,"LOX/APLNR/COL3A1/LEP/PDE2A",5
"GO:0006721","terpenoid metabolic process","6/218","100/18805",0.06,5.1756880733945,4.53417117262227,0.00109201199116436,0.046632013455667,0.0396311762328145,"RETSAT/DGAT2/RDH5/AKR1C1/AKR1C3/ADH1B",6
"GO:1902905","positive regulation of supramolecular fiber organization","8/218","177/18805",0.0451977401129944,3.89882340745348,4.19637215538528,0.00109494148880749,0.046632013455667,0.0396311762328145,"LIMCH1/RAPGEF3/CCN2/CLU/MAP1B/SYNPO/FLNA/HSPA1A",8
"GO:0006639","acylglycerol metabolic process","7/218","137/18805",0.0510948905109489,4.4075202571486,4.33509433388265,0.00110079310864157,0.046632013455667,0.0396311762328145,"DGAT2/GPAM/LPGAT1/THRSP/LPL/PTPN11/CIDEC",7
"GO:0050746","regulation of lipoprotein metabolic process","3/218","18/18805",0.166666666666667,14.3769113149847,6.14910772301762,0.00110258543794925,0.046632013455667,0.0396311762328145,"DBI/LEP/APOD",3
"GO:0006638","neutral lipid metabolic process","7/218","138/18805",0.0507246376811594,4.37558170456056,4.31022183273949,0.00114841969347798,0.0476926137706313,0.0405325492356099,"DGAT2/GPAM/LPGAT1/THRSP/LPL/PTPN11/CIDEC",7
"GO:0070670","response to interleukin-4","4/218","40/18805",0.1,8.62614678899082,5.22889101815933,0.00115773368863134,0.0476926137706313,0.0405325492356099,"RPL3/TUBA1B/ALAD/FASN",4
"GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction","11/218","316/18805",0.0348101265822785,3.00277261642086,3.8883665051097,0.00119651718281155,0.0486583654343363,0.041353313160329,"RAPGEF3/NOP53/LOX/IGFBP5/PIK3R1/NTRK2/AKR1C2/DDR2/PHLDA3/LEP/AKR1C3",11
"GO:1901654","response to ketone","9/218","225/18805",0.04,3.45045871559633,4.00464951554737,0.00128443287608062,0.051472941225431,0.0437453383149694,"MAOB/SERPINF1/YAP1/AKR1C2/NQO1/GNG2/AKR1C3/AQP1/TXNIP",9
"GO:0016137","glycoside metabolic process","3/218","19/18805",0.157894736842105,13.6202317720908,5.96040390974045,0.00129818262863634,0.051472941225431,0.0437453383149694,"AKR1C2/AKR1C1/AKR1C3",3
"GO:0071478","cellular response to radiation","8/218","185/18805",0.0432432432432432,3.73022563848252,4.04150653242105,0.00145196898967338,0.0557512459985312,0.047381343665706,"MAP3K20/YAP1/SFRP2/PIK3R1/RPL26/NPM1/MME/AQP1",8
"GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage","6/218","106/18805",0.0566037735849057,4.88272459754198,4.34139245812095,0.00147575081766082,0.0557512459985312,0.047381343665706,"CLU/TPT1/SFRP2/PIK3R1/RPL26/PHLDA3",6
"GO:1901796","regulation of signal transduction by p53 class mediator","6/218","106/18805",0.0566037735849057,4.88272459754198,4.34139245812095,0.00147575081766082,0.0557512459985312,0.047381343665706,"RPS20/NOP53/RPL23/RPL11/RPL37/RPL26",6
"GO:0097305","response to alcohol","10/218","276/18805",0.036231884057971,3.12541550325755,3.8523089799682,0.00147638860777951,0.0557512459985312,0.047381343665706,"MAOB/ALAD/AKR1C2/LEP/RPL15/NQO1/GNG2/AKR1C3/RPL10A/CES1",10
"GO:0051896","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","10/218","278/18805",0.0359712230215827,3.10293049963699,3.82554650313002,0.00155751447741497,0.0581227755571797,0.0493968368626592,"RAPGEF3/NOP53/LOX/IGFBP5/NTRK2/AKR1C2/DDR2/PHLDA3/LEP/AKR1C3",10
"GO:0001101","response to acid chemical","7/218","146/18805",0.047945205479452,4.13582380294081,4.11938721238335,0.00159028185762741,0.0586555122371411,0.0498495940928249,"ATP2B4/NTRK2/ALAD/COL3A1/NQO1/COL4A1/COL5A2",7
"GO:0019432","triglyceride biosynthetic process","4/218","44/18805",0.0909090909090909,7.8419516263553,4.92070199642915,0.00165872359120552,0.060476680819585,0.0513973516887759,"DGAT2/GPAM/LPGAT1/THRSP",4
"GO:0008202","steroid metabolic process","11/218","335/18805",0.0328358208955224,2.83246610981788,3.66499701957586,0.00189952229845918,0.066447236856876,0.0564715515996746,"ASAH1/DHCR24/ACLY/RDH5/VLDLR/AKR1C2/LRP5/LEP/AKR1C1/AKR1C3/CES1",11
"GO:0030149","sphingolipid catabolic process","4/218","46/18805",0.0869565217391304,7.50099720781811,4.78082417893222,0.00195830625088962,0.066447236856876,0.0564715515996746,"PLPP1/ASAH1/ENPP2/SCARB2",4
"GO:2001239","regulation of extrinsic apoptotic signaling pathway in absence of ligand","4/218","46/18805",0.0869565217391304,7.50099720781811,4.78082417893222,0.00195830625088962,0.066447236856876,0.0564715515996746,"SRPX/PPP2R1B/PRDX2/HSPA1A",4
"GO:0033157","regulation of intracellular protein transport","7/218","152/18805",0.0460526315789474,3.97256760019314,3.98499616049449,0.00200086936469961,0.066447236856876,0.0564715515996746,"RAPGEF3/PIK3R1/LEP/PTPN11/APOD/FLNA/ASPH",7
"GO:0035107","appendage morphogenesis","7/218","152/18805",0.0460526315789474,3.97256760019314,3.98499616049449,0.00200086936469961,0.066447236856876,0.0564715515996746,"SEMA3C/MAP3K20/BPNT2/SFRP2/LRP5/COL3A1/ASPH",7
"GO:0035108","limb morphogenesis","7/218","152/18805",0.0460526315789474,3.97256760019314,3.98499616049449,0.00200086936469961,0.066447236856876,0.0564715515996746,"SEMA3C/MAP3K20/BPNT2/SFRP2/LRP5/COL3A1/ASPH",7
"GO:0044241","lipid digestion","3/218","22/18805",0.136363636363636,11.7629274395329,5.47026029506096,0.00201101347360028,0.066447236856876,0.0564715515996746,"LEP/AKR1C1/AQP1",3
"GO:0071379","cellular response to prostaglandin stimulus","3/218","22/18805",0.136363636363636,11.7629274395329,5.47026029506096,0.00201101347360028,0.066447236856876,0.0564715515996746,"AKR1C2/GNG2/AKR1C3",3
"GO:1902644","tertiary alcohol metabolic process","3/218","22/18805",0.136363636363636,11.7629274395329,5.47026029506096,0.00201101347360028,0.066447236856876,0.0564715515996746,"AKR1C2/AKR1C1/AKR1C3",3
"GO:0046486","glycerolipid metabolic process","12/218","395/18805",0.030379746835443,2.62060155614911,3.52530440573856,0.0022903357730439,0.0720109389488491,0.0611999783128701,"DGAT2/BPNT2/SERINC1/GPAM/LPGAT1/ENPP2/PIK3R1/THRSP/DBI/LPL/PTPN11/CIDEC",12
"GO:0050999","regulation of nitric-oxide synthase activity","3/218","23/18805",0.130434782608696,11.2514958117272,5.32756745319763,0.00229303706829759,0.0720109389488491,0.0611999783128701,"ATP2B4/NPR3/LEP",3
"GO:0046890","regulation of lipid biosynthetic process","8/218","199/18805",0.0402010050251256,3.46779770411691,3.79016663636443,0.00229406993124724,0.0720109389488491,0.0611999783128701,"PDK4/ASAH1/LPGAT1/IDH1/THRSP/LEP/AKR1C3/CES1",8
"GO:0009743","response to carbohydrate","9/218","245/18805",0.036734693877551,3.16878861636398,3.70049651775719,0.00229897334257003,0.0720109389488491,0.0611999783128701,"ME1/GPAM/MAP1B/SERPINF1/LRP5/LEP/LPL/NQO1/TXNIP",9
"GO:0002062","chondrocyte differentiation","6/218","116/18805",0.0517241379310345,4.46180006327112,4.05029506397668,0.0023335558666236,0.0720109389488491,0.0611999783128701,"BPNT2/CCN2/LOXL2/SFRP2/COL3A1/PTPN11",6
"GO:0060840","artery development","6/218","116/18805",0.0517241379310345,4.46180006327112,4.05029506397668,0.0023335558666236,0.0720109389488491,0.0611999783128701,"NOTCH3/LOX/APLNR/COL3A1/LEP/PDE2A",6
"GO:1902903","regulation of supramolecular fiber organization","12/218","396/18805",0.0303030303030303,2.61398387545177,3.51544578184838,0.00233831233030626,0.0720109389488491,0.0611999783128701,"LIMCH1/RAPGEF3/AEBP1/CCN2/CLU/HIP1R/MAP1B/PIK3R1/SYNPO/FLNA/HSPA1A/SHANK3",12
"GO:0009411","response to UV","7/218","157/18805",0.0445859872611465,3.84605270846725,3.87815670285656,0.00240198906012437,0.0732606663337933,0.0622620848479606,"MAP3K20/CCND1/PIK3R1/RPL26/NPM1/MME/AQP1",7
